ts,metric,gpu,hostname,value
1785768788.601,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.569
1785768788.601,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,16.0
1785768788.601,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768788.642,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.859
1785768788.642,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785768788.642,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785768793.574,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.569
1785768793.574,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,16.0
1785768793.574,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768793.613,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.859
1785768793.613,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785768793.613,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785768798.582,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768798.582,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768798.582,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768798.631,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
1785768798.631,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785768798.631,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,76.0
1785768803.591,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768803.591,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768803.591,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768803.629,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
1785768803.629,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785768803.629,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,76.0
1785768808.614,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768808.614,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768808.614,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768808.676,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
1785768808.676,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785768808.676,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,76.0
1785768813.609,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768813.609,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768813.609,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768813.748,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
1785768813.748,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785768813.748,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,76.0
1785768818.596,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768818.596,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768818.596,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768818.655,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
1785768818.655,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785768818.655,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,76.0
1785768823.661,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.585
1785768823.661,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785768823.661,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,17.0
1785768823.719,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.148
