index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,5,1785793546.285561,0.09626175000000001,1.808809917,1578,64,ok,,17.55;127.75;0.03;0.01;0.00;0.32;28.18;22.27;36.42;22.70;31.07;24.47;24.52;24.92;24.22;26.23;25.12;23.26;24.84;25.94;51.17;0.04;30.62;41.27;21.49;25.04;27.51;27.70;25.21;23.35;26.26;26.51;32.11;18.74;26.42;26.26;26.66;24.45;26.35;24.84;27.57;25.61;26.29;23.15;26.34;24.95;26.21;25.08;27.80;25.19;23.39;28.55;25.47;32.71;17.57;40.32;41.49;29.38;23.05;39.90;44.16;27.66;38.03
1,3,1785793546.495977,0.11872758299999997,1.894851875,1578,64,ok,,22.14;31.10;24.91;24.48;24.84;24.30;25.67;25.23;23.37;24.68;26.37;50.78;1.26;29.83;40.81;21.93;25.02;27.25;27.21;25.33;23.72;26.24;26.88;31.74;18.98;26.57;26.20;26.21;24.41;27.05;24.59;27.56;25.90;25.71;23.42;25.81;24.56;27.30;24.67;28.21;25.04;23.47;28.22;25.79;32.16;18.03;42.87;38.96;29.73;22.48;40.12;44.13;27.27;39.53;16.25;44.20;26.50;29.19;27.56;48.05;28.75;27.44;47.03
2,51,1785793546.497244,,0.076948083,,,error,RuntimeError: HTTP 500: Internal Server Error,
3,0,1785793546.5811808,0.08911012499999998,1.8872637500000002,1578,64,ok,,22.68;24.48;24.83;24.37;25.71;25.40;23.17;24.65;26.32;51.10;0.08;30.73;40.85;21.45;26.05;26.38;27.80;25.24;23.25;26.61;26.74;31.51;19.28;26.54;25.96;26.49;24.34;26.81;24.83;27.56;25.64;25.61;23.71;26.37;24.44;27.11;24.61;28.26;24.96;23.39;28.52;25.48;32.63;17.53;40.03;41.37;29.83;22.94;39.49;44.20;28.40;38.63;16.25;43.63;27.48;28.59;28.01;46.67;30.11;27.13;47.96;45.22;28.39
4,1,1785793546.5928771,0.09925483299999999,1.450565958,1578,64,ok,,17.02;18.95;19.82;18.84;19.39;19.59;19.36;19.58;21.15;23.19;14.17;39.56;1.32;18.12;19.24;20.15;19.23;21.36;18.65;19.46;32.93;19.15;21.48;29.60;16.78;20.95;28.26;13.58;22.13;31.21;19.02;21.92;17.86;23.37;21.08;20.35;21.21;21.31;22.78;20.90;19.52;22.49;21.64;19.13;21.11;23.97;20.25;20.49;20.55;20.47;23.30;19.43;25.61;18.71;22.46;20.17;31.77;23.19;17.81;21.38;19.99;32.96;30.09
5,14,1785793546.862685,0.11141637500000001,2.05566425,1578,64,ok,,38.58;22.51;26.63;26.36;27.54;25.30;23.38;24.66;28.61;30.14;20.43;26.42;26.47;26.54;22.50;28.50;24.68;24.35;26.77;27.82;23.94;24.13;26.14;27.10;24.92;26.23;27.00;23.36;28.44;26.18;32.20;16.90;40.87;41.38;29.84;23.13;37.31;42.79;31.57;39.64;15.31;40.26;28.81;27.40;31.08;46.95;29.85;25.50;48.79;45.11;28.59;28.32;29.42;29.71;28.31;42.28;51.38;53.01;55.41;46.00;27.81;29.35;33.01
6,22,1785793546.864543,0.15037499999999993,2.087208208,1578,64,ok,,20.41;26.66;26.39;27.40;25.58;23.23;26.45;26.90;30.08;20.54;26.32;26.40;26.55;24.10;27.06;24.53;27.44;26.05;25.59;23.74;26.12;24.48;27.00;25.15;28.02;25.00;23.61;28.28;25.82;32.30;16.77;44.18;37.87;30.14;23.03;39.17;44.27;28.35;39.68;15.14;43.94;26.94;28.83;28.13;48.07;28.57;27.40;47.04;45.90;28.97;27.07;29.51;29.52;28.72;49.20;47.40;49.92;54.83;47.45;27.97;31.41;30.51;32.69
7,85,1785793546.997453,0.11802920799999994,1.507786292,1578,64,ok,,17.15;21.86;29.10;16.83;20.27;28.86;13.32;21.62;31.72;18.85;21.75;17.71;24.07;20.89;20.19;20.90;21.42;23.10;20.83;19.60;22.76;21.15;19.22;21.03;23.99;20.35;20.31;19.96;21.21;22.84;19.85;25.45;19.25;21.93;20.23;28.99;20.08;23.97;21.35;20.19;32.53;30.10;21.62;31.33;10.78;24.29;24.61;20.18;18.82;29.08;17.40;23.72;22.88;21.47;23.08;21.36;22.73;18.59;24.67;20.81;22.27;21.80;20.55
8,7,1785793547.070326,0.1127672500000001,1.5104430830000002,1578,64,ok,,16.89;21.04;28.23;13.25;22.48;31.11;18.74;22.15;18.05;23.69;20.39;20.38;20.80;22.03;22.63;20.83;19.11;23.09;21.21;18.59;21.52;23.58;20.77;20.52;20.88;20.79;22.62;19.10;26.26;18.84;22.34;20.23;31.81;23.19;18.05;21.45;20.01;32.26;30.37;21.75;29.79;12.16;25.03;23.95;20.13;20.56;26.74;17.75;25.37;21.43;21.53;22.72;20.72;23.37;19.24;23.82;21.46;21.90;22.04;21.79;25.10;31.23;17.89
9,109,1785793547.192214,0.12356587499999994,1.5376717909999997,1578,64,ok,,19.46;21.92;17.76;23.45;20.97;20.47;21.13;21.24;22.45;20.95;19.76;22.42;21.87;19.41;20.84;24.58;19.39;20.74;20.58;21.07;22.94;18.82;25.93;18.56;22.65;20.21;31.78;17.48;23.90;21.16;20.04;32.67;30.12;21.50;29.37;12.83;24.29;23.91;20.56;20.93;27.27;17.34;24.98;21.44;21.41;23.12;21.60;22.47;19.46;23.64;21.20;22.27;21.86;21.59;19.37;37.23;18.22;29.92;23.96;20.06;22.54;29.88;22.48
10,18,1785793547.730753,0.12207662500000005,2.4095502910000004,1578,64,ok,,38.42;29.89;23.03;39.43;44.18;28.34;38.75;16.27;39.87;30.85;25.56;30.70;47.27;29.70;27.72;47.73;45.35;27.21;28.73;28.76;30.07;28.53;49.23;47.28;50.41;56.15;44.68;27.83;29.13;32.98;32.57;27.34;51.69;29.36;51.13;65.99;27.01;28.94;32.80;28.55;32.13;30.73;29.76;31.49;28.06;31.65;34.68;26.64;58.23;64.14;31.81;33.55;30.81;29.01;62.01;31.97;28.90;31.80;32.09;42.32;19.42;71.88;34.48
11,0,1785793547.747981,0.142546458,2.4241709579999995,1578,64,ok,,29.96;23.08;37.00;43.12;28.93;42.81;12.42;42.33;28.56;28.02;29.60;45.74;32.17;25.67;45.12;49.77;28.47;28.12;29.37;29.56;28.67;42.47;51.01;53.14;55.39;46.52;27.42;30.89;31.82;31.68;27.22;51.81;28.86;51.55;65.53;27.88;28.60;32.57;29.52;31.74;30.98;29.84;30.77;28.07;31.90;34.39;27.18;59.33;62.54;32.03;33.64;33.23;26.65;61.48;32.21;28.69;32.02;31.08;43.67;18.69;71.63;35.02;30.45
12,7,1785793547.773932,0.12271100000000001,1.57692475,1578,64,ok,,23.40;17.82;18.48;21.53;29.60;32.78;20.85;34.00;10.53;25.10;23.28;20.41;21.22;25.51;18.85;23.98;22.78;19.78;22.78;20.44;25.41;18.39;24.72;18.98;22.18;24.16;20.58;26.21;31.40;17.76;30.39;24.07;19.86;22.38;28.44;22.49;21.68;32.08;14.63;36.70;23.69;19.88;24.53;19.23;28.99;12.73;27.00;24.85;17.36;21.25;21.96;22.44;21.93;23.51;32.92;10.20;21.63;35.26;22.21;21.23;19.47;25.17;20.49
13,3,1785793547.851236,0.13272962500000007,2.410431834,1578,64,ok,,39.99;31.45;39.58;12.95;45.89;25.80;28.57;30.13;46.30;30.25;25.50;48.61;46.39;27.46;26.50;31.60;29.61;28.08;50.14;47.08;49.68;54.48;47.32;28.85;30.95;30.26;33.14;26.16;52.72;29.19;52.53;61.64;28.92;28.71;32.87;29.72;31.81;31.14;29.66;30.34;30.36;30.37;30.06;31.12;61.84;59.10;33.50;34.12;31.98;26.29;58.61;31.42;33.00;31.44;30.44;44.53;19.07;70.90;34.84;30.74;25.27;35.83;29.65
14,0,1785793547.8733609,0.15381633299999997,2.425293333,1578,64,ok,,25.71;40.18;17.43;44.26;26.67;29.32;27.66;46.10;30.06;25.72;48.88;46.09;28.37;25.64;31.77;29.20;29.23;49.22;47.31;49.75;54.40;46.98;30.06;29.85;30.25;33.33;26.30;52.57;29.03;52.88;61.54;29.86;25.83;35.30;29.29;31.04;31.75;30.06;29.73;28.74;31.42;33.00;28.62;61.98;59.01;34.14;33.82;31.26;26.22;59.15;35.23;28.84;31.84;28.86;45.33;19.67;71.46;34.39;28.70;29.31;34.19;30.78;35.27
15,57,1785793547.892766,0.11897966699999984,1.5690244589999998,1578,64,ok,,28.36;21.27;31.86;12.57;25.07;23.28;20.39;21.40;26.10;16.61;25.17;22.85;21.41;21.41;22.39;23.14;19.06;24.03;21.43;20.03;22.21;23.61;25.46;30.79;18.14;30.06;24.30;18.21;23.97;30.27;20.71;21.64;31.30;13.41;38.45;23.61;18.58;22.82;21.52;30.04;15.05;19.02;30.50;17.38;21.36;21.87;22.45;21.87;23.31;33.56;11.87;19.36;35.41;21.80;21.45;21.99;22.89;22.79;20.39;20.50;25.18;19.12;23.20
16,2,1785793547.909885,0.13388050000000007,1.5764466670000001,1578,64,ok,,19.96;29.12;13.43;24.71;23.27;20.35;19.50;29.18;16.83;25.62;21.07;21.38;22.97;20.94;22.73;19.91;23.98;18.66;24.98;21.71;19.92;20.34;38.08;17.28;30.00;23.94;20.74;22.51;27.52;23.33;20.91;31.76;15.38;36.55;23.99;20.15;24.19;17.77;28.61;16.53;25.34;24.12;17.19;21.66;22.12;20.31;22.34;24.64;32.45;13.02;21.64;33.62;20.84;21.44;22.29;21.33;24.33;20.36;22.33;24.31;21.06;22.39;22.31
17,0,1785793548.032846,0.12254004200000002,2.4128395420000004,1578,64,ok,,24.15;27.41;31.02;46.38;30.42;27.64;43.49;48.62;28.17;28.80;28.92;30.07;27.95;49.85;47.33;50.68;54.83;46.51;27.73;30.94;30.22;33.10;27.68;52.47;28.40;53.55;62.54;28.03;29.43;33.44;28.52;30.25;32.24;30.01;30.86;30.59;26.38;35.33;27.51;62.61;60.26;33.11;33.18;32.09;25.82;61.55;32.79;29.36;31.08;31.59;42.87;19.13;67.60;36.59;30.58;27.71;35.90;30.10;33.09;32.19;53.67;34.73;29.45
18,54,1785793548.1631858,0.12235670799999987,2.4368183749999996,1578,64,ok,,29.13;27.67;47.16;45.61;28.63;28.02;29.38;28.94;28.23;50.63;47.21;50.21;55.60;45.87;29.44;30.05;30.18;33.75;26.15;52.70;28.27;53.75;62.76;27.71;29.38;32.72;28.89;30.96;31.99;29.89;29.27;31.30;30.02;33.09;26.86;63.02;59.21;33.87;33.57;32.04;25.47;62.36;28.33;32.97;31.97;31.37;42.73;19.27;71.83;34.18;30.05;27.44;34.19;31.21;35.93;27.64;54.16;34.73;29.88;29.01;32.35;28.49;65.06
19,0,1785793548.264249,0.12603162500000042,2.5215337079999998,1578,64,ok,,44.39;29.19;28.04;29.31;29.08;28.24;50.32;47.21;50.43;55.68;46.04;28.70;30.67;30.53;33.35;29.41;48.83;28.40;53.79;62.32;27.91;30.09;32.73;28.53;31.82;31.14;30.10;30.60;30.74;30.06;31.57;29.17;61.44;62.69;29.85;33.67;33.53;25.98;56.53;35.51;31.91;30.24;31.94;42.63;18.21;67.87;36.31;30.35;29.25;34.71;30.99;34.71;29.23;53.32;35.13;29.62;29.66;31.93;28.51;64.69;56.66;90.65;37.87
20,4,1785793548.280342,0.153673167,2.5362342090000003,1578,64,ok,,28.56;25.23;30.45;28.85;29.43;43.99;51.75;53.92;52.02;49.54;27.53;31.39;30.94;31.59;27.28;52.39;28.25;53.56;62.39;28.75;29.64;32.60;26.24;34.76;30.67;30.16;31.37;29.89;30.36;29.11;31.92;59.19;57.27;37.09;33.76;33.87;24.85;61.38;29.16;32.58;32.26;31.68;42.83;18.83;70.93;35.33;30.31;24.47;36.10;29.64;31.10;34.62;52.49;35.35;29.82;30.21;30.91;29.49;64.36;54.32;93.45;36.55;33.13
21,13,1785793548.442358,0.12077999999999989,1.5747319169999998,1578,64,ok,,16.50;30.41;23.75;20.70;22.50;32.01;20.46;20.56;28.31;17.41;37.01;24.35;19.32;24.55;18.98;27.03;14.60;27.29;24.13;17.37;21.51;22.27;21.90;21.96;24.05;31.24;11.61;23.79;33.20;23.09;20.43;21.10;23.05;22.29;21.45;21.85;23.77;19.07;24.34;23.20;23.58;15.01;25.21;20.22;18.83;21.87;27.06;14.42;21.44;21.69;29.78;18.02;19.05;32.20;37.91;20.34;19.95;24.07;19.60;24.75;21.81;31.37;22.17
22,0,1785793548.4879339,0.1385999579999999,2.7023540419999996,1578,64,ok,,46.05;53.66;54.31;46.90;27.72;31.26;29.87;33.25;26.78;51.95;28.90;51.50;65.46;27.05;29.95;32.03;28.98;30.36;32.32;30.17;31.67;29.50;28.00;35.75;26.78;58.30;63.17;30.79;35.99;33.22;26.06;61.09;32.74;27.19;33.53;28.88;40.04;24.34;67.57;36.54;28.86;29.20;33.44;32.13;38.02;25.02;53.91;35.18;31.59;29.47;28.92;29.26;66.91;56.44;89.36;39.67;32.15;34.66;66.32;71.78;73.86;75.00;46.79
23,73,1785793548.505719,0.10466549999999986,1.5563420419999998,1578,64,ok,,23.52;20.23;22.94;27.50;23.04;22.27;31.90;13.68;37.00;24.32;19.39;24.30;19.23;29.16;15.05;24.65;24.84;17.35;21.30;22.13;22.27;21.78;23.47;33.41;11.89;21.55;33.60;22.69;19.69;22.47;23.22;22.19;20.97;22.16;23.47;21.07;22.52;23.01;23.57;14.81;25.59;19.08;19.89;21.78;26.54;14.96;21.17;21.30;30.41;18.22;18.64;30.66;40.42;20.34;21.34;19.84;23.70;22.95;21.67;30.62;23.75;22.16;22.32
24,6,1785793548.5445068,0.1320422080000001,2.674855833,1578,64,ok,,49.46;55.24;45.99;28.38;31.61;29.19;34.62;23.41;55.15;27.43;54.23;62.44;24.94;29.70;35.84;28.46;29.75;33.73;28.70;32.39;29.58;29.75;34.17;26.63;58.15;64.01;29.33;37.34;31.87;27.45;60.95;32.66;31.48;28.02;31.46;43.36;19.46;72.02;34.38;29.85;25.56;35.93;30.36;36.42;27.80;53.94;34.91;29.81;29.23;31.38;29.76;63.12;57.02;90.29;38.84;33.23;34.42;65.38;74.03;72.67;78.61;41.55;35.29
25,4,1785793548.580817,0.145834083,2.70191475,1578,64,ok,,52.00;49.27;27.15;31.11;30.46;32.63;27.93;51.76;28.98;51.17;64.30;25.35;32.27;33.24;27.75;32.92;30.87;29.35;31.84;29.45;30.37;32.78;27.91;59.74;61.14;33.10;34.74;32.37;25.21;58.71;32.09;30.17;31.49;30.60;46.11;17.16;68.03;38.87;27.84;29.70;33.25;32.06;34.83;30.82;51.31;36.56;27.36;32.70;28.32;29.63;67.28;53.94;88.03;41.67;33.77;34.32;65.94;69.60;73.81;77.27;45.03;28.72;71.06
