index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,4,1785841277.88046,0.091035958,2.3512925,1578,64,ok,,18.16;37.19;20.19;32.93;31.20;28.21;17.51;25.24;34.96;28.38;44.94;44.91;22.70;28.39;27.00;25.32;40.80;25.37;28.35;25.74;27.76;40.69;28.35;27.08;54.01;17.23;48.79;27.24;27.86;43.27;31.17;46.59;53.40;32.93;27.44;74.41;27.75;28.08;35.04;27.51;32.77;29.62;36.43;29.25;26.73;56.83;30.53;31.42;28.25;32.44;59.98;84.39;69.82;30.65;34.09;35.32;28.65;39.24;25.08;77.70;59.25;37.58;29.51
1,0,1785841277.979201,0.10207208300000004,2.4266978750000003,1578,64,ok,,30.08;28.23;17.17;25.14;35.36;28.37;44.65;44.90;23.37;28.07;26.91;25.59;40.15;25.78;29.32;27.40;25.10;40.73;28.72;26.83;54.25;16.51;49.32;26.65;29.27;44.53;30.00;46.38;52.15;34.02;27.66;73.76;28.02;29.02;34.18;27.77;30.89;31.50;36.47;28.46;26.87;56.68;30.70;30.45;33.57;28.98;59.29;84.14;68.87;32.68;35.35;33.43;28.55;39.26;25.55;77.83;61.67;34.32;30.06;41.57;29.84;67.43;34.16
2,117,1785841278.08725,0.111112041,1.8357753329999997,1578,64,ok,,19.04;16.08;22.98;24.60;32.62;15.79;21.71;32.50;23.97;31.96;12.83;26.95;29.44;25.80;20.31;31.61;25.07;22.74;22.68;24.09;22.93;33.25;12.79;22.94;23.67;35.60;25.06;30.49;16.73;24.24;35.47;25.31;26.62;24.20;26.31;23.80;24.52;25.50;31.63;16.71;25.04;42.17;22.07;43.01;28.13;31.61;17.86;40.27;41.10;27.98;27.40;43.85;30.48;31.31;19.85;27.02;52.68;28.83;39.77;30.02;28.75;27.48;26.85
3,3,1785841278.129716,0.11610679099999999,2.506390916,1578,64,ok,,45.85;43.28;23.31;27.72;27.91;25.38;38.77;26.37;29.20;27.42;25.30;40.32;29.38;26.95;53.44;17.82;45.90;29.47;28.62;45.55;28.25;47.30;50.68;35.02;26.66;74.35;28.37;29.07;34.75;27.06;31.51;31.71;36.43;29.45;25.14;57.36;31.90;29.41;34.22;28.08;56.83;83.06;69.88;33.51;33.83;27.83;35.48;31.66;33.68;79.26;57.27;35.53;29.17;45.99;29.02;60.53;36.87;31.83;38.82;61.94;40.08;28.33;34.67
4,1,1785841278.1527061,0.13720495800000004,2.518206125,1578,64,ok,,43.03;24.74;27.62;28.49;25.62;37.00;27.66;27.49;26.82;27.64;40.39;28.90;26.70;55.13;16.25;43.79;31.53;29.77;42.43;30.73;46.52;51.38;33.17;28.40;68.96;32.17;29.75;37.87;24.78;31.26;28.64;42.75;27.99;23.99;59.24;27.86;30.75;28.65;32.86;58.52;85.83;68.19;35.91;32.99;33.65;28.37;39.02;23.70;79.23;62.88;33.55;29.06;43.06;29.82;63.98;35.11;32.29;36.70;62.80;38.74;31.20;36.29;30.99
5,0,1785841278.15391,0.13805870799999997,2.5160729159999997,1578,64,ok,,42.85;23.57;28.31;27.34;25.81;38.75;26.15;29.19;27.57;24.93;41.66;28.44;27.04;52.97;18.18;47.29;27.72;28.61;45.73;28.49;47.81;50.08;35.27;26.53;75.12;28.62;27.70;35.67;26.52;31.47;31.26;38.55;27.81;24.68;58.28;31.48;28.92;33.54;28.83;58.78;81.55;69.60;33.34;35.94;27.08;34.67;39.14;24.34;78.99;62.90;32.89;29.43;43.41;29.93;63.24;35.38;32.28;37.47;62.00;39.12;31.42;36.45;29.49
6,60,1785841278.2220778,0.11237199999999997,2.511406542,1578,64,ok,,23.69;28.16;27.86;25.58;39.37;25.47;29.22;27.42;24.64;40.41;29.91;27.12;53.93;17.18;47.76;26.90;29.06;45.86;28.73;46.06;51.54;35.32;26.45;74.78;28.96;27.44;35.48;27.04;31.40;31.04;37.53;28.40;26.41;57.25;29.10;32.54;31.72;29.23;57.48;82.75;70.31;34.51;32.30;28.54;35.04;39.06;23.82;78.54;62.46;34.05;29.61;42.33;30.03;64.89;34.50;32.30;35.34;64.60;36.84;32.78;35.72;30.97;63.66
7,39,1785841278.262557,0.12215991699999995,1.9559293340000001,1578,64,ok,,23.15;31.07;13.68;27.03;29.37;25.50;20.26;32.40;24.35;22.74;22.59;24.14;22.86;33.20;12.55;23.60;23.24;35.72;25.34;30.03;17.16;23.37;34.27;26.52;26.75;24.11;27.29;22.61;24.68;25.35;31.32;17.61;24.69;41.07;22.96;43.42;28.73;30.90;18.75;38.10;43.17;27.63;29.28;42.01;28.93;32.72;20.34;27.38;50.78;32.18;39.61;29.92;26.82;28.24;26.93;27.75;39.84;32.08;51.56;32.18;26.03;51.02;34.09
8,0,1785841278.3518028,0.12643891699999998,2.610419875,1578,64,ok,,26.03;28.42;27.21;26.33;40.97;28.30;27.03;54.14;17.13;46.14;29.54;28.40;43.22;32.15;45.38;51.27;33.16;28.36;74.82;28.05;29.08;34.01;27.73;31.89;31.87;36.23;28.11;26.23;57.27;30.86;30.26;29.91;31.48;59.16;86.13;68.45;32.72;33.88;35.72;27.36;39.90;25.97;74.00;64.71;33.97;30.70;39.03;30.50;65.97;34.70;31.96;34.42;66.76;34.63;34.68;33.07;31.27;66.24;83.96;30.54;48.26;30.60;32.97
9,15,1785841278.3816478,0.13058533299999997,1.977620791,1578,64,ok,,22.56;21.05;31.13;24.06;26.76;18.90;24.56;22.92;32.59;13.58;23.14;23.51;35.48;25.27;30.27;16.90;23.59;34.16;26.32;26.73;24.83;25.83;23.64;24.71;24.55;31.82;18.14;24.42;42.69;21.10;43.90;28.20;26.84;21.53;38.80;46.38;25.64;27.28;43.51;31.05;29.65;21.12;27.08;51.39;33.19;38.66;30.53;25.98;30.10;24.98;27.70;34.89;41.08;50.31;33.56;21.90;50.50;33.28;25.77;31.96;24.26;28.84;30.72
