ts,metric,gpu,hostname,value
1785848578.913,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.937
1785848578.913,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785848578.913,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,21.0
1785848578.948,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.029
1785848578.948,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785848578.948,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785848583.898,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.937
1785848583.898,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785848583.898,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,21.0
1785848583.936,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.029
1785848583.936,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785848583.936,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785848588.929,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.937
1785848588.929,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785848588.929,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,21.0
1785848589.005,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.029
1785848589.005,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785848589.005,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785848593.904,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.937
1785848593.904,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785848593.904,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,21.0
1785848593.947,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.029
1785848593.947,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785848593.947,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785848598.897,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.099
1785848598.897,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785848598.897,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,61.0
1785848598.948,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.916
1785848598.948,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785848598.948,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785848603.91,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.099
1785848603.91,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785848603.91,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,61.0
1785848603.98,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.916
1785848603.98,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785848603.98,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
