ts,metric,gpu,hostname,value
1785868981.889,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.408
1785868981.889,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,69.0
1785868981.889,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785868982.058,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.469
1785868982.058,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785868982.058,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785868986.785,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.408
1785868986.785,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,69.0
1785868986.785,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785868986.961,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.469
1785868986.961,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785868986.961,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785868991.892,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.408
1785868991.892,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,69.0
1785868991.892,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785868992.186,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.469
1785868992.186,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785868992.186,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785868996.776,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.408
1785868996.776,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,69.0
1785868996.776,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785868996.939,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785868996.939,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785868996.939,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869001.786,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869001.786,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869001.786,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869001.919,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785869001.919,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785869001.919,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869006.77,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869006.77,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869006.77,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869006.922,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785869006.922,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785869006.922,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869011.873,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869011.873,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869011.873,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869012.094,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785869012.094,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785869012.094,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869016.855,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869016.855,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869016.855,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869017.029,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785869017.029,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785869017.029,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869021.909,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869021.909,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869021.909,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869022.39,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.326
1785869022.39,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785869022.39,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869026.912,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,117.758
1785869026.912,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,92.0
1785869026.912,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,53.0
1785869027.529,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869027.529,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869027.529,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869031.861,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869031.861,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869031.861,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869032.082,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869032.082,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869032.082,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869036.823,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869036.823,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869036.823,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869037.039,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869037.039,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869037.039,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869041.814,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869041.814,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869041.814,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869041.979,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869041.979,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869041.979,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869046.861,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869046.861,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869046.861,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869047.333,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869047.333,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869047.333,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869052.033,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869052.033,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869052.033,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869052.213,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.82
1785869052.213,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785869052.213,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,60.0
1785869056.919,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,124.859
1785869056.919,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785869056.919,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869057.101,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869057.101,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869057.101,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869061.825,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869061.825,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869061.825,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869061.978,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869061.978,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869061.978,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869066.83,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869066.83,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869066.83,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869067.008,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869067.008,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869067.008,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869071.929,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869071.929,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869071.929,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869072.162,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869072.162,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869072.162,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869076.846,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869076.846,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869076.846,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869077.026,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869077.026,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869077.026,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869082.072,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869082.072,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869082.072,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869082.458,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,119.484
1785869082.458,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785869082.458,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785869086.845,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.561
1785869086.845,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785869086.845,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,73.0
1785869086.997,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,116.741
1785869086.997,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785869086.997,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,61.0
1785869091.83,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.976
1785869091.83,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,90.0
1785869091.83,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
1785869092.112,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,116.741
1785869092.112,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785869092.112,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,61.0
1785869096.852,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.976
1785869096.852,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,90.0
1785869096.852,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,44.0
