ts,metric,gpu,hostname,value
1785963268.762,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,131.417
1785963268.762,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785963268.762,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,51.0
1785963268.888,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,105.413
1785963268.888,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785963268.888,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,17.0
1785963273.679,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,131.417
1785963273.679,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785963273.679,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,51.0
1785963273.732,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,105.413
1785963273.732,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785963273.732,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,17.0
1785963278.723,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,131.417
1785963278.723,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785963278.723,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,51.0
1785963278.846,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,105.413
1785963278.846,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785963278.846,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,17.0
1785963283.65,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,131.417
1785963283.65,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,57.0
1785963283.65,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,51.0
1785963283.696,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,105.413
1785963283.696,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785963283.696,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,17.0
1785963288.711,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.799
1785963288.711,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785963288.711,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,71.0
1785963288.835,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.997
1785963288.835,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785963288.835,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,62.0
1785963293.666,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.799
1785963293.666,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785963293.666,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,71.0
1785963293.714,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.997
1785963293.714,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785963293.714,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,62.0
1785963298.667,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.799
1785963298.667,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
