ts,metric,gpu,hostname,value
1785794252.608,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.544
1785794252.608,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,95.0
1785794252.608,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,52.0
1785794252.649,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.619
1785794252.649,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785794252.649,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785794257.612,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.544
1785794257.612,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,95.0
1785794257.612,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,52.0
1785794257.668,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.619
1785794257.668,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785794257.668,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785794262.607,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.544
1785794262.607,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,95.0
1785794262.607,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,52.0
1785794262.649,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.619
1785794262.649,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785794262.649,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1785794267.606,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,109.791
1785794267.606,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,90.0
1785794267.606,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1785794267.647,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.832
1785794267.647,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785794267.647,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,62.0
1785794272.617,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,109.791
1785794272.617,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,90.0
1785794272.617,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1785794272.659,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.832
1785794272.659,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785794272.659,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,62.0
1785794277.612,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,109.791
1785794277.612,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,90.0
