ts,metric,gpu,hostname,value
1785602638.04,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.765
1785602638.04,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602638.04,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602638.102,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,102.15
1785602638.102,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602638.102,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602643.023,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.765
1785602643.023,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602643.023,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602643.066,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,102.15
1785602643.066,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602643.066,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602647.965,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.765
1785602647.965,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602647.965,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602648.016,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,102.15
1785602648.016,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602648.016,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602653.038,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.765
1785602653.038,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602653.038,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602653.091,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,102.15
