ts,metric,gpu,hostname,value
1785602905.741,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.743
1785602905.741,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602905.741,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602905.781,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,108.392
1785602905.781,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602905.781,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602910.634,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.743
1785602910.634,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602910.634,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602910.677,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,108.392
1785602910.677,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602910.677,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602915.727,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.743
1785602915.727,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602915.727,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602915.769,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,108.392
1785602915.769,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602915.769,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602920.635,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.743
1785602920.635,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602920.635,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602920.683,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,108.392
1785602920.683,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602920.683,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602925.692,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.743
1785602925.692,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602925.692,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602925.742,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,123.145
1785602925.742,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785602925.742,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785602930.659,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,104.823
1785602930.659,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,68.0
1785602930.659,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,16.0
1785602930.706,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,123.145
1785602930.706,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785602930.706,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785602935.651,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,104.823
1785602935.651,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,68.0
