index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error
0,16,1785603001.365816,0.38420595903880894,2.3545198750216514,1578,64,ok,
1,2,1785603003.29949,0.419882332906127,2.351080416003242,1578,64,ok,
2,3,1785603003.605242,,0.3639090829528868,,,error,"HTTPStatusError: Server error '500 Internal Server Error' for url 'https://llm-cache-llm.apps.gapu-2.customers.k8s.co.il/v1/completions'
For more information check: https://developer.mozilla.org/en-US"
3,0,1785603004.2407172,,0.28106470801867545,,,error,"HTTPStatusError: Server error '500 Internal Server Error' for url 'https://llm-cache-llm.apps.gapu-2.customers.k8s.co.il/v1/completions'
For more information check: https://developer.mozilla.org/en-US"
4,0,1785603004.905335,0.7493250831030309,2.355724582914263,1578,64,ok,
5,12,1785603005.026686,0.6277019591070712,2.3664954169653356,1578,64,ok,
6,0,1785603005.06896,1.2807837089058012,1.8449698749464005,1578,64,ok,
7,0,1785603005.531769,0.9540744579862803,2.1453414580319077,1578,64,ok,
8,18,1785603005.597975,0.7595575829036534,2.6641758331097662,1578,64,ok,
9,0,1785603005.840058,0.6474335410166532,3.125470499973744,1578,64,ok,
10,6,1785603006.943211,0.3311440828256309,2.0220045829191804,1578,64,ok,
11,0,1785603007.976427,0.9891943340189755,3.2782897090073675,1578,64,ok,
12,10,1785603008.0387368,0.9279913329519331,2.2752852919511497,1578,64,ok,
13,0,1785603008.0829,0.883334374986589,3.642084333114326,1578,64,ok,
14,2,1785603008.209862,0.8035064998548478,2.5725794159807265,1578,64,ok,
15,0,1785603009.0955698,0.9867519170511514,3.201212584041059,1578,64,ok,
16,1,1785603009.111776,1.9526750000659376,3.2024957921821624,1578,64,ok,
17,3,1785603009.241028,1.8221111670136452,3.0730161669198424,1578,64,ok,
18,1,1785603009.298033,1.4849771249573678,3.8728245419915766,1578,64,ok,
19,3,1785603009.367531,1.6946721249260008,2.5953249169979244,1578,64,ok,
20,0,1785603009.739328,1.523608084069565,4.2955332500860095,1578,64,ok,
21,0,1785603009.840985,1.487972415983677,4.442670832853764,1578,64,ok,
22,0,1785603010.1095989,1.1539456250611693,2.6275746668688953,1578,64,ok,
23,0,1785603010.770386,0.7144605000503361,3.513331166934222,1578,64,ok,
24,0,1785603011.413606,0.5675201669801027,1.8352293749339879,1578,64,ok,
25,2,1785603011.683624,0.4228457079734653,1.8169829160906374,1578,64,ok,
26,5,1785603012.457481,0.37750470801256597,3.159326625056565,1578,64,ok,
27,5,1785603012.882733,0.36621020804159343,3.1096265830565244,1578,64,ok,
28,16,1785603013.761912,0.755024999845773,2.0151956249028444,1578,64,ok,
29,0,1785603013.909426,0.6094251251779497,3.222646208014339,1578,64,ok,
30,7,1785603014.137571,0.4336362909525633,2.1750497908797115,1578,64,ok,
31,7,1785603014.571885,0.3171157091856003,1.9473400840070099,1578,64,ok,
32,2,1785603016.0321002,0.34843991696834564,3.035641541937366,1578,64,ok,
