ts,metric,gpu,hostname,value
1785602711.932,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.77
1785602711.932,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602711.932,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602711.986,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.664
1785602711.986,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602711.986,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602717.015,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.381
1785602717.015,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602717.015,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602717.066,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.228
1785602717.066,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602717.066,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602721.927,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.381
1785602721.927,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602721.927,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602721.967,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.228
1785602721.967,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602721.967,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602727.003,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.381
1785602727.003,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602727.003,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602727.053,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.228
1785602727.053,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602727.053,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785602731.943,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.381
1785602731.943,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785602731.943,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785602731.992,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.228
1785602731.992,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785602731.992,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
