ts,metric,gpu,hostname,value
1785603056.744,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,89.145
1785603056.744,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785603056.744,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785603056.783,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.922
1785603056.783,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785603056.783,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,52.0
1785603061.718,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,89.145
1785603061.718,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785603061.718,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785603061.764,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.922
1785603061.764,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785603061.764,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,52.0
1785603066.714,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,89.145
1785603066.714,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785603066.714,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785603066.758,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.922
1785603066.758,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785603066.758,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,52.0
1785603071.755,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,89.145
1785603071.755,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785603071.755,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785603071.898,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.922
1785603071.898,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,95.0
1785603071.898,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,52.0
1785603076.719,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,89.145
1785603076.719,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785603076.719,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,36.0
1785603076.762,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.133
1785603076.762,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785603076.762,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,49.0
1785603081.735,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.648
1785603081.735,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,67.0
1785603081.735,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,36.0
1785603081.861,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.133
1785603081.861,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
