ts,metric,gpu,hostname,value
1785880798.854,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.375
1785880798.854,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785880798.854,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1785880799.017,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.002
1785880799.017,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785880799.017,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785880803.791,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.375
1785880803.791,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785880803.791,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1785880803.837,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.002
1785880803.837,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785880803.837,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785880808.795,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.375
1785880808.795,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785880808.795,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1785880808.842,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.002
1785880808.842,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785880808.842,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785880813.793,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.375
1785880813.793,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785880813.793,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1785880813.85,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.002
1785880813.85,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,92.0
1785880813.85,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785880818.805,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.453
1785880818.805,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,86.0
1785880818.805,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,39.0
1785880818.939,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,108.307
1785880818.939,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785880818.939,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,52.0
1785880823.798,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.453
