index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,106,1785882016.3653078,0.21049741678871214,1.858521666843444,1578,64,ok,,23.31;22.12;31.63;17.67;28.17;19.77;30.33;22.14;29.34;15.18;104.19;0.99;0.04;0.67;3.22;22.06;28.84;14.38;22.36;23.35;23.11;16.53;31.58;22.19;26.17;18.30;39.02;31.25;22.90;26.01;21.51;33.34;102.46;3.05;0.03;0.03;14.83;23.04;21.84;32.26;27.96;29.84;21.38;32.49;14.61;22.65;46.43;28.17;25.15;25.10;24.76;26.76;105.41;3.15;3.08;3.45;25.98;40.90;49.01;0.02;26.42;64.07;31.66
1,80,1785882016.374648,0.22484316700138152,1.873255749931559,1578,64,ok,,22.04;31.45;17.46;28.08;19.89;30.72;21.89;29.62;14.36;104.33;0.05;1.01;0.79;3.31;22.22;29.04;13.85;22.23;23.15;22.29;17.88;29.43;24.30;26.15;18.48;39.28;30.87;22.90;26.37;20.84;33.45;103.16;0.04;2.94;0.03;14.20;23.16;21.69;34.71;25.71;30.54;19.56;33.46;14.33;23.29;46.76;27.64;25.10;25.09;25.00;26.58;105.07;3.36;3.16;3.81;25.61;40.35;48.96;4.14;22.99;64.81;30.80;23.81
2,11,1785882016.4932969,0.10552950017154217,1.5595509170088917,1578,64,ok,,15.98;19.17;19.15;18.81;27.51;18.54;22.80;14.81;26.92;19.24;21.61;96.36;1.02;0.03;0.63;9.09;26.45;17.84;15.23;21.98;45.36;17.12;32.78;22.23;25.96;17.10;19.67;21.13;30.87;19.93;21.38;35.10;22.41;106.22;2.64;0.04;0.03;0.03;18.43;21.90;21.18;21.63;20.97;20.84;26.28;22.15;30.97;13.54;13.98;20.82;38.77;20.05;23.73;22.79;27.21;17.67;26.72;95.51;2.62;0.03;13.84;29.47;29.31
3,18,1785882016.583622,0.11534987506456673,1.7880967911332846,1578,64,ok,,19.36;28.76;23.46;29.99;14.27;104.30;1.13;0.04;0.83;3.30;21.92;28.57;14.53;22.01;23.82;24.01;15.53;29.66;24.15;27.96;16.68;36.73;33.06;23.29;26.02;21.24;33.02;102.90;3.06;0.03;0.03;12.35;26.21;21.06;32.40;25.52;31.28;22.39;32.74;14.90;20.47;47.98;27.66;25.48;23.40;24.55;25.28;108.36;3.51;3.09;3.46;27.00;41.50;48.43;0.02;26.00;57.74;37.13;22.98;28.98;42.35;27.78;26.53
4,0,1785882016.6024141,0.0979700421448797,1.6180126669351012,1578,64,ok,,17.84;22.37;15.15;27.02;19.15;21.77;96.37;0.85;0.59;0.03;9.21;26.16;18.71;14.48;21.86;47.28;14.89;33.19;21.73;27.42;15.64;20.16;20.89;30.84;19.75;21.98;34.59;22.46;106.16;1.83;0.04;0.04;0.03;19.22;21.51;21.39;21.44;20.95;20.93;25.31;22.14;32.51;14.26;12.87;18.88;40.11;20.21;24.19;22.76;27.26;18.17;27.52;95.65;3.05;0.04;12.10;31.52;28.16;48.55;0.02;35.26;41.68;41.08
5,8,1785882016.645788,0.10366354207508266,1.8553107921034098,1578,64,ok,,21.41;29.19;15.16;104.38;0.97;0.04;0.72;3.22;21.95;28.03;15.15;22.50;23.32;22.44;17.36;29.36;24.30;25.82;18.60;36.79;33.05;23.18;26.11;21.47;32.76;102.85;3.12;0.03;0.03;12.34;25.78;21.52;32.40;27.55;29.36;21.32;32.67;14.87;23.32;46.19;27.68;25.43;23.41;26.13;26.55;106.12;3.34;3.12;2.98;26.29;35.79;31.04;25.05;24.49;58.03;37.44;23.35;28.28;40.54;29.77;29.82;26.45;97.96
6,0,1785882016.683282,0.09958912502042949,1.6601339580956846,1578,64,ok,,18.98;21.73;96.53;0.83;0.06;0.57;9.01;26.42;18.81;14.39;21.69;45.53;17.35;32.59;22.10;25.77;17.15;20.09;20.82;31.04;19.87;21.30;35.19;22.14;106.59;2.91;0.03;0.03;0.03;18.06;21.57;21.32;21.72;20.83;20.98;26.64;22.04;30.23;14.51;13.38;21.05;38.67;20.06;23.69;22.49;27.11;17.57;27.54;95.63;2.69;0.03;16.62;26.35;28.26;48.59;4.38;32.00;41.97;41.12;53.21;17.20;24.29;28.58
7,2,1785882016.749845,0.1699770838022232,1.755209208931774,1578,64,ok,,1.00;0.03;0.60;8.91;26.42;18.90;14.47;21.59;45.34;17.34;32.50;22.49;25.20;17.53;20.25;20.85;30.91;19.87;21.37;35.32;21.59;106.90;2.53;0.04;0.03;0.03;18.54;21.46;21.37;21.76;20.89;20.86;26.75;20.93;31.25;14.29;13.69;18.79;40.93;19.84;23.93;19.81;29.48;17.77;27.30;95.50;2.57;0.04;13.88;29.16;24.41;31.11;25.23;32.97;41.57;40.43;53.04;16.84;25.94;30.01;33.56;20.47;104.04
8,21,1785882016.847845,0.2097616249229759,1.8154043750837445,1578,64,ok,,17.08;32.28;22.31;26.23;17.00;19.92;20.88;30.96;19.51;21.66;34.80;22.74;106.33;2.75;0.03;0.03;0.03;18.15;21.24;21.92;21.57;20.94;21.12;25.84;20.71;33.03;13.71;13.54;21.12;38.10;20.27;23.48;23.19;27.22;17.48;27.33;95.28;2.89;0.03;16.72;26.22;29.85;48.26;0.02;34.48;42.60;43.36;51.37;18.63;22.15;30.11;33.72;23.15;101.40;0.04;3.92;21.62;24.77;19.58;22.16;21.75;22.11;24.31
9,9,1785882016.85436,0.20451149996370077,1.8087826669216156,1578,64,ok,,15.41;32.85;22.19;26.07;17.03;19.87;20.89;30.50;20.38;21.61;34.71;22.48;106.59;2.98;0.03;0.03;0.03;17.60;21.51;21.39;22.26;20.77;20.60;26.22;20.63;32.67;14.09;13.54;21.19;37.51;20.84;23.50;23.12;26.88;18.00;27.52;95.63;3.01;0.04;12.35;31.36;27.43;48.39;4.14;31.60;42.60;40.82;53.41;17.26;23.65;29.58;33.37;23.37;101.47;3.74;0.03;21.24;25.81;18.58;22.66;21.93;22.29;24.37
