ts,metric,gpu,hostname,value
1785884432.097,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,125.602
1785884432.097,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,86.0
1785884432.097,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1785884432.148,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.038
1785884432.148,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785884432.148,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785884437.205,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,125.602
1785884437.205,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,86.0
1785884437.205,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1785884437.374,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.038
1785884437.374,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785884437.374,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785884442.08,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,125.602
1785884442.08,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,86.0
1785884442.08,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1785884442.136,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.038
1785884442.136,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785884442.136,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1785884447.204,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,125.602
1785884447.204,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,86.0
1785884447.204,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884447.314,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884447.314,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884447.314,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884452.213,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884452.213,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884452.213,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884452.356,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884452.356,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884452.356,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884457.455,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884457.455,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884457.455,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884457.59,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884457.59,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884457.59,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884462.244,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884462.244,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884462.244,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884462.341,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884462.341,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884462.341,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884467.113,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884467.113,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884467.113,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884467.212,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884467.212,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884467.212,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884472.227,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884472.227,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884472.227,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,47.0
1785884472.329,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,106.5
1785884472.329,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1785884472.329,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,22.0
1785884477.1,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,108.604
1785884477.1,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,93.0
1785884477.1,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785884477.153,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,110.688
1785884477.153,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
