ts,metric,gpu,hostname,value
1785960822.081,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,137.323
1785960822.081,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785960822.081,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,31.0
1785960822.131,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,124.334
1785960822.131,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,60.0
1785960822.131,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,24.0
1785960826.98,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,137.323
1785960826.98,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785960826.98,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,31.0
1785960827.024,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,98.22
1785960827.024,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785960827.024,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785960832.042,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,143.446
1785960832.042,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1785960832.042,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,83.0
1785960832.091,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,98.22
1785960832.091,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785960832.091,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785960836.981,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,143.446
1785960836.981,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1785960836.981,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,83.0
1785960837.121,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,98.22
1785960837.121,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785960837.121,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785960842.073,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,143.446
1785960842.073,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1785960842.073,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,83.0
1785960842.125,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,98.22
1785960842.125,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785960842.125,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785960847.056,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,143.446
1785960847.056,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1785960847.056,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,83.0
