index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,10,1785961179.0076666,0.06370999896898866,2.4236486749723554,1578,64,ok,,25.71;49.39;28.29;30.38;30.21;28.86;31.19;37.59;38.87;28.66;42.40;52.13;49.17;32.55;31.94;37.62;31.82;47.60;37.30;32.42;31.62;39.95;28.89;52.00;34.24;34.09;31.11;36.15;34.53;31.31;36.17;33.88;34.80;32.65;39.38;29.87;33.97;33.27;51.33;17.77;35.70;35.55;52.12;36.35;60.11;34.04;40.37;70.92;26.16;35.84;36.66;34.97;40.12;32.79;64.88;38.41;38.64;36.49;37.26;39.19;35.41;38.97;35.64
1,88,1785961179.0462,0.09975891513749957,2.4631227219942957,1578,64,ok,,28.45;30.41;30.27;28.79;31.27;37.15;39.40;28.66;41.88;52.36;50.26;32.48;31.87;38.16;31.90;47.54;37.82;31.64;31.26;40.77;28.41;51.06;34.95;34.45;30.89;35.94;35.43;30.89;35.89;34.05;35.10;32.03;39.90;29.64;34.26;33.26;50.86;17.84;36.00;35.31;53.13;36.15;60.36;33.66;40.36;71.51;26.16;36.26;36.25;34.58;40.14;33.36;64.40;38.63;37.94;36.77;37.55;38.80;35.49;38.70;37.50;32.28;40.14
2,5,1785961179.0984254,0.06076270388439298,1.8687462590169162,1578,64,ok,,18.15;20.15;20.83;19.86;19.95;21.14;20.66;20.56;20.37;29.75;21.13;24.06;19.29;21.06;21.90;20.38;28.43;20.43;22.39;29.62;21.35;25.36;22.27;26.86;39.10;26.29;23.09;23.30;34.10;25.71;19.22;35.04;24.03;26.51;22.43;24.61;23.46;23.85;23.93;25.68;23.30;43.09;23.96;24.55;29.33;21.88;22.98;24.43;24.32;40.91;23.55;56.60;15.56;68.29;45.75;69.85;59.04;30.38;27.66;28.25;51.90;35.07;57.38
3,24,1785961179.2603762,0.07210010592825711,2.4615919729694724,1578,64,ok,,38.95;28.66;41.72;53.02;49.58;32.54;31.96;38.16;31.68;47.24;36.57;33.09;31.60;40.44;28.65;50.51;34.35;35.52;29.82;36.00;35.80;30.06;36.39;34.80;33.13;33.04;40.84;29.76;34.22;33.33;51.28;17.49;35.86;35.42;53.15;35.60;60.22;34.17;40.12;70.94;26.19;35.90;36.73;34.65;40.31;33.21;62.69;38.64;39.80;35.40;38.61;37.72;36.66;38.95;36.38;33.30;40.07;120.91;0.01;0.01;19.34;37.90;37.98
4,11,1785961179.300055,0.07005526591092348,2.03927865694277,1578,64,ok,,21.35;24.03;19.30;21.08;21.65;20.59;27.77;20.89;22.17;29.43;21.70;25.42;21.92;27.16;38.11;26.98;23.36;23.24;34.11;25.20;20.18;34.12;24.65;26.00;22.55;25.18;22.69;24.45;23.88;25.39;23.31;43.28;23.19;24.73;27.96;22.31;24.54;24.66;23.78;40.00;22.56;59.20;13.80;68.12;46.26;70.64;59.26;30.39;27.73;28.35;51.20;34.40;58.90;54.60;58.17;67.44;29.22;30.49;27.77;25.55;28.76;24.06;27.37
5,32,1785961179.345153,0.0973191331140697,2.481432450003922,1578,64,ok,,51.19;50.04;32.60;31.90;38.28;31.96;45.93;37.72;32.78;31.49;40.99;27.93;51.35;34.88;34.08;31.25;36.04;34.75;31.15;36.25;33.61;34.41;33.04;40.34;28.62;35.27;32.49;52.06;17.13;36.36;34.74;51.65;36.68;59.69;34.64;41.14;70.93;25.51;35.01;36.49;35.65;41.08;31.78;64.82;38.69;38.96;36.13;36.96;39.34;35.35;39.64;35.28;33.53;39.91;121.64;0.01;0.01;20.35;36.53;37.42;40.50;28.34;39.07
6,82,1785961179.4007063,0.0934071799274534,2.475141990929842,1578,64,ok,,50.44;32.60;31.91;38.16;31.80;47.19;36.12;33.64;31.43;38.43;30.68;51.01;35.01;34.50;30.74;36.10;35.09;31.12;35.98;34.05;34.97;32.16;39.82;29.73;34.26;33.20;49.65;19.11;35.99;35.31;53.12;36.08;60.42;33.62;40.41;71.51;26.12;36.18;36.28;34.67;40.16;33.34;64.35;38.56;37.93;36.92;37.50;38.86;35.48;38.54;37.66;32.28;40.13;117.16;0.02;0.02;23.88;36.81;38.61;36.05;31.43;40.13;42.07
7,26,1785961179.4139671,0.13114389893598855,2.4842143000569195,1578,64,ok,,32.40;31.86;38.14;32.02;46.90;36.38;33.32;31.60;40.75;28.40;50.13;35.91;34.46;30.86;35.94;35.57;30.81;35.82;34.05;35.27;32.02;39.81;29.58;34.29;33.27;49.40;19.25;36.12;35.19;53.19;36.10;60.35;33.65;40.36;71.53;26.17;36.36;36.35;34.37;40.11;33.36;64.40;38.80;37.46;37.20;37.45;38.86;35.42;38.38;36.10;34.01;40.41;116.78;0.02;0.01;24.04;36.92;38.56;35.93;31.46;40.15;42.29;26.29
8,2,1785961179.4593706,0.06706276792101562,2.1676830409560353,1578,64,ok,,20.67;22.27;29.63;21.41;26.28;21.29;27.31;38.75;26.74;23.02;23.25;34.23;25.91;18.89;35.04;24.05;26.80;22.16;24.59;23.43;23.87;23.91;25.69;23.68;42.73;23.99;24.50;27.69;23.22;23.34;24.36;24.34;40.59;23.43;54.45;18.18;68.34;46.12;70.18;58.38;30.24;27.65;28.38;52.10;34.89;57.67;54.37;58.30;68.03;28.66;30.08;24.75;28.87;26.25;23.84;27.00;27.50;25.62;27.50;26.28;68.79;108.41;0.02
9,3,1785961179.5220962,0.0774858589284122,2.1290597398765385,1578,64,ok,,21.24;25.34;22.36;26.43;37.95;27.36;23.16;23.30;33.98;25.29;19.09;34.97;23.46;27.54;22.53;24.37;23.29;23.24;24.22;26.43;23.23;41.66;24.83;24.65;28.06;22.39;23.26;24.67;25.07;39.70;23.03;55.82;17.08;69.10;44.90;69.79;58.19;30.89;27.88;26.60;53.37;32.75;57.66;54.08;60.58;65.42;31.12;29.21;27.76;25.33;29.99;23.64;26.10;27.93;25.36;27.65;26.72;65.78;111.06;0.03;0.01;9.72;19.21
10,0,1785961179.6209624,0.07455799006856978,2.1348615118768066,1578,64,ok,,37.62;27.91;22.92;23.24;34.90;25.73;17.51;34.13;24.43;25.87;22.63;25.70;23.29;23.45;24.10;27.54;20.81;43.12;24.60;24.68;26.41;24.86;22.54;24.53;24.01;39.70;22.81;61.91;10.88;73.61;40.89;74.43;57.84;30.42;25.44;26.98;55.94;30.35;59.12;54.27;61.41;63.91;29.58;30.86;29.94;22.93;31.20;24.08;28.04;27.02;25.57;27.56;26.17;62.93;117.39;0.01;0.01;0.04;24.76;23.27;27.22;28.29;24.77
11,30,1785961179.628233,0.09682443598285317,2.4549529058858752,1578,64,ok,,39.84;30.39;31.63;39.96;28.83;52.39;33.91;34.00;31.20;36.15;34.47;31.33;36.10;33.82;34.86;32.70;38.92;29.90;33.98;33.72;51.35;17.75;34.93;36.20;52.20;36.22;60.19;34.15;40.01;71.00;26.35;35.26;37.22;34.87;40.09;32.97;64.81;38.41;38.81;36.47;36.97;39.29;35.30;40.85;36.64;31.02;40.07;120.67;0.01;0.01;21.18;36.53;37.63;39.66;28.90;39.93;46.39;22.71;32.32;39.85;34.38;29.98;48.48
12,63,1785961179.6512063,0.08326540398411453,2.134469948010519,1578,64,ok,,26.81;22.92;23.17;34.90;25.71;18.53;33.94;25.27;26.73;22.11;24.45;23.47;24.05;23.86;26.34;23.16;43.05;23.52;24.53;28.08;22.05;24.72;23.71;24.66;38.94;23.78;59.76;12.60;71.97;41.82;73.33;57.86;30.46;25.38;28.26;54.80;30.32;59.09;54.23;61.46;63.89;29.56;30.85;29.90;22.96;31.18;24.11;28.04;27.02;25.53;27.57;26.17;62.93;117.45;0.01;0.01;0.04;24.71;23.27;27.25;28.25;30.33;25.36
13,0,1785961179.6577406,0.07580223609693348,2.125067863147706,1578,64,ok,,27.97;22.83;23.20;34.98;25.60;18.56;33.92;25.28;26.83;22.03;24.42;23.51;24.07;23.79;26.41;23.22;42.95;23.52;24.51;28.20;21.94;24.81;23.67;24.68;38.88;23.82;56.59;15.74;72.45;41.34;73.51;57.92;26.57;29.01;25.40;58.62;29.55;59.21;54.08;61.49;63.78;29.50;30.86;27.38;25.57;28.78;24.22;27.35;27.76;25.31;27.03;26.94;65.17;111.70;0.01;0.01;8.34;22.17;23.13;25.32;27.57;27.47;27.46
