index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,85,1785963906.12146,0.06829012488014996,1.6064058549236506,1578,64,ok,,19.65;19.67;29.92;21.91;28.88;14.99;20.98;19.72;21.57;29.20;21.86;21.35;22.32;21.53;113.49;0.02;0.01;0.01;0.01;13.20;20.81;21.15;21.16;21.54;20.43;20.88;21.76;21.90;31.87;20.57;17.19;38.78;19.11;40.66;25.58;24.82;28.35;18.39;40.01;17.34;23.49;23.63;22.74;25.76;21.95;25.84;20.15;22.38;23.49;26.16;22.19;21.98;35.85;23.74;24.53;48.51;14.13;26.36;23.61;37.16;27.46;23.70;39.82
1,17,1785963906.1922448,0.06716366508044302,1.6106871941592544,1578,64,ok,,21.04;28.90;15.07;21.54;19.82;20.86;30.52;21.21;21.40;22.17;21.08;114.46;0.02;0.02;0.01;0.01;12.72;20.83;20.74;22.04;20.61;20.44;20.91;21.71;21.82;31.94;22.24;15.43;40.94;18.22;41.76;24.83;25.57;27.54;18.36;40.39;17.60;22.97;23.82;20.91;27.49;20.36;26.99;18.84;22.37;23.66;27.73;20.52;21.91;36.03;23.55;26.52;49.04;13.88;26.48;23.48;36.88;27.91;21.49;43.59;20.28;25.87;25.46
2,1,1785963906.2897375,0.06692643510177732,3.032307992922142,1578,64,ok,,20.96;35.10;39.31;35.64;128.67;0.03;0.01;0.01;21.32;28.14;30.55;27.11;28.55;42.66;22.19;34.60;21.79;56.38;41.42;66.03;70.43;73.71;81.19;65.56;43.79;61.36;67.77;38.07;35.42;69.50;39.12;70.39;38.29;37.19;36.85;33.66;37.00;36.90;76.51;38.61;38.15;35.99;35.25;43.30;29.84;38.24;77.67;41.61;38.09;36.65;34.02;78.84;84.72;108.75;92.43;102.29;43.90;40.18;46.14;41.10;43.76;40.45;56.92
3,9,1785963906.3377523,0.07877481495961547,1.6537864380516112,1578,64,ok,,21.13;21.46;22.26;21.09;114.73;0.01;0.01;0.01;0.01;12.49;20.62;21.08;22.05;20.61;20.38;20.87;21.65;22.03;31.97;21.42;16.11;40.09;18.80;41.67;25.01;25.64;27.42;18.46;40.43;17.36;23.24;23.57;22.81;25.60;21.74;25.79;20.45;22.60;23.83;25.77;22.19;21.84;35.56;24.37;24.55;48.97;13.65;26.94;23.16;37.18;27.81;23.43;41.59;22.37;27.08;36.52;11.21;23.58;40.36;36.08;15.17;23.01;24.55
4,3,1785963906.3830316,0.06934311892837286,3.1957529101055115,1578,64,ok,,35.47;129.86;0.01;0.01;0.01;20.14;28.15;30.58;27.16;28.47;43.33;21.74;36.43;20.25;56.66;41.49;66.58;70.92;74.30;83.27;64.02;43.24;62.17;67.45;37.96;37.91;67.68;38.76;70.32;39.08;36.77;38.87;32.50;35.48;36.23;76.17;39.88;36.44;37.46;33.37;40.60;34.31;40.21;74.66;39.09;37.93;38.71;37.75;75.04;85.83;104.05;98.82;102.08;42.24;39.84;46.28;42.24;42.57;42.38;49.13;36.53;113.82;108.61
5,1,1785963906.414998,0.07215885282494128,3.2753595078829676,1578,64,ok,,129.86;0.02;0.01;0.01;20.36;28.13;30.58;27.05;28.56;43.42;22.41;34.70;20.63;56.17;41.71;67.05;69.35;73.67;81.03;65.52;46.00;58.85;68.29;38.02;37.17;67.88;39.05;72.95;38.29;36.75;38.43;33.58;35.69;36.60;75.71;39.89;39.18;34.62;36.12;41.67;30.65;40.11;75.36;41.32;38.32;36.13;36.19;76.59;85.58;108.72;94.08;107.13;37.21;43.29;43.07;41.67;43.11;41.55;57.81;34.31;108.15;108.29;115.82
6,69,1785963906.7746737,0.07833802397362888,1.785060449037701,1578,64,ok,,16.11;40.48;18.33;41.76;24.75;25.64;27.47;18.46;40.38;17.59;23.01;23.81;22.63;25.77;21.60;25.70;20.44;22.64;24.01;25.56;22.19;21.83;35.58;24.34;24.59;49.01;13.89;27.15;22.63;37.77;27.21;23.47;41.59;22.38;27.25;36.35;11.21;23.69;40.57;35.80;15.09;23.26;24.56;23.14;23.03;23.34;39.05;26.30;24.11;24.63;29.44;22.55;22.57;45.24;32.22;27.37;26.26;25.44;42.55;38.89;14.68;33.91;22.50
7,1,1785963906.7969332,0.07662083208560944,4.371930678142235,1578,64,ok,,56.89;41.53;66.56;70.26;74.78;81.39;64.83;44.52;61.72;66.90;37.22;39.65;65.67;39.69;71.36;39.09;36.67;38.97;32.48;35.52;36.17;76.21;39.87;39.12;34.78;35.97;41.18;31.14;40.22;77.74;38.34;38.35;40.19;33.45;81.76;82.45;105.37;98.04;103.59;39.55;40.64;46.32;38.71;46.44;38.54;58.05;33.58;112.68;110.32;117.92;112.80;103.34;55.09;32.67;128.56;123.63;177.58;123.54;131.16;126.79;144.51;155.26;57.06
8,24,1785963906.807585,0.12234299094416201,4.491082374937832,1578,64,ok,,41.34;66.92;70.14;74.91;81.03;65.17;44.34;61.76;67.09;37.21;37.54;67.76;39.16;71.62;39.05;36.21;39.25;32.67;35.58;38.14;75.90;38.16;39.13;34.82;35.96;39.41;32.88;40.26;77.05;37.92;37.92;40.88;33.93;79.80;84.91;103.42;99.06;100.68;43.36;38.14;48.66;38.94;46.20;38.62;53.29;35.32;114.92;110.66;115.40;115.46;101.43;54.91;34.98;125.46;124.87;174.28;125.08;128.37;136.27;144.31;147.86;53.10;136.17
9,2,1785963906.8270948,0.08182856999337673,1.7978710839524865,1578,64,ok,,18.79;41.70;24.87;25.64;27.42;18.51;40.38;17.49;23.10;23.80;22.64;25.77;21.54;25.77;20.44;22.61;24.01;25.58;22.19;21.83;35.57;24.36;24.55;48.99;13.92;26.66;23.14;37.19;27.80;23.47;41.59;22.36;27.19;36.43;11.17;23.70;40.23;36.08;15.17;23.14;24.65;23.12;23.07;23.36;38.87;26.45;24.12;24.63;29.43;22.35;22.76;45.16;32.33;27.21;26.40;25.45;41.45;39.94;14.73;33.88;22.37;21.07;41.91
