ts,metric,gpu,hostname,value
1785964485.028,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.457
1785964485.028,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785964485.028,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1785964485.075,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.895
1785964485.075,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785964485.075,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,21.0
1785964490.006,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.899
1785964490.006,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785964490.006,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785964490.044,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,92.476
1785964490.044,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785964490.044,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785964495.013,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.899
1785964495.013,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785964495.013,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785964495.059,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,92.476
1785964495.059,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785964495.059,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785964500.137,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.899
1785964500.137,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785964500.137,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785964500.188,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,92.476
1785964500.188,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785964500.188,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785964505.035,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.899
1785964505.035,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785964505.035,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785964505.082,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,92.476
1785964505.082,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785964505.082,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785964510.097,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,102.899
1785964510.097,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1785964510.097,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785964510.145,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,92.476
