ts,metric,gpu,hostname,value
1785965707.034,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.977
1785965707.034,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785965707.034,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,26.0
1785965707.082,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,114.751
1785965707.082,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785965707.082,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,21.0
1785965711.952,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.977
1785965711.952,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785965711.952,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,26.0
1785965712.0,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,114.751
1785965712.0,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785965712.0,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,21.0
1785965717.057,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,113.977
1785965717.057,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785965717.057,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,26.0
1785965717.099,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965717.099,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965717.099,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965721.968,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965721.968,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965721.968,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965722.01,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965722.01,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965722.01,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965727.03,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965727.03,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965727.03,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965727.089,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965727.089,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965727.089,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965731.979,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965731.979,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965731.979,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965732.021,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965732.021,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965732.021,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965736.985,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965736.985,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965736.985,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965737.027,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965737.027,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965737.027,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965741.984,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965741.984,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965741.984,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965742.033,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,127.567
1785965742.033,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,88.0
1785965742.033,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,68.0
1785965746.988,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,134.926
1785965746.988,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,85.0
1785965746.988,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,65.0
1785965747.032,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,103.659
1785965747.032,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785965747.032,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785965751.998,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.276
1785965751.998,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785965751.998,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,33.0
1785965752.122,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,103.659
1785965752.122,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785965752.122,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785965756.993,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.276
1785965756.993,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785965756.993,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,33.0
1785965757.039,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,103.659
1785965757.039,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785965757.039,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785965761.99,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.276
1785965761.99,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785965761.99,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,33.0
1785965762.127,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,103.659
1785965762.127,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785965762.127,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785965767.001,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.276
1785965767.001,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1785965767.001,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,33.0
1785965767.055,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,103.659
1785965767.055,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
