index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,8,1785966035.9255044,0.0748907697852701,1.8720913208089769,1578,64,ok,,14.02;31.05;26.83;30.20;19.21;37.63;23.35;26.25;25.22;25.38;24.41;35.42;15.69;32.83;34.46;19.13;24.92;27.34;26.83;117.26;0.01;0.01;0.04;24.53;26.51;26.82;26.34;25.43;27.97;25.07;24.54;28.93;27.79;25.35;26.21;25.75;24.37;25.63;30.04;21.37;36.52;43.21;27.01;29.58;26.22;28.64;38.60;54.09;21.07;42.81;31.19;28.44;30.52;35.70;22.49;28.62;41.92;18.07;31.95;27.82;32.29;27.43;31.18
1,2,1785966035.9802134,,0.02552432706579566,,,error,RuntimeError: HTTP 500: Internal Server Error,
2,0,1785966036.0157018,0.07219274993985891,1.69494226295501,1578,64,ok,,14.25;13.10;21.98;29.10;21.09;22.68;20.94;33.59;22.78;32.26;11.43;21.71;21.85;27.87;13.30;37.96;33.06;131.19;0.01;0.01;0.01;0.04;20.54;22.43;22.43;22.58;32.81;23.13;24.62;23.56;23.07;23.79;22.92;22.68;23.13;23.40;22.58;31.10;18.32;30.68;11.30;25.03;22.75;22.82;31.03;13.04;32.57;26.85;24.24;23.73;23.74;38.30;25.56;23.41;25.07;38.08;23.91;44.38;20.84;39.64;47.99;24.60;46.67
3,24,1785966036.070577,0.0891208800021559,1.9131370359100401,1578,64,ok,,23.24;26.27;25.21;25.43;24.40;34.64;16.50;33.92;32.40;20.06;24.92;27.38;26.73;115.85;0.03;0.02;0.09;25.30;26.47;26.84;26.27;25.42;28.06;25.75;24.53;27.92;27.74;25.63;26.02;25.55;24.66;25.84;29.90;21.51;37.06;44.25;27.12;27.90;26.32;28.48;38.68;54.15;21.06;45.17;28.93;28.46;30.51;37.47;22.18;27.18;41.91;18.07;31.95;27.81;32.31;27.39;31.20;27.05;27.21;30.61;26.53;42.57;33.09
4,5,1785966036.0863497,0.07958039501681924,1.7278998841065913,1578,64,ok,,21.26;22.68;20.92;33.56;22.79;32.05;11.72;21.62;21.85;27.78;13.35;37.63;33.14;131.28;0.01;0.01;0.01;0.07;22.31;22.38;21.72;22.59;33.59;23.05;24.15;23.58;23.21;22.59;24.72;23.42;22.24;23.32;22.93;31.36;15.91;30.36;13.39;24.82;23.01;22.93;28.91;15.51;32.38;26.21;25.17;23.66;23.66;37.50;27.16;22.46;25.29;37.21;23.94;42.41;23.39;39.43;47.47;25.42;47.33;25.28;25.89;24.64;26.61
5,59,1785966036.1918008,0.07310176896862686,1.727161783957854,1578,64,ok,,22.69;32.27;11.48;21.64;21.86;28.11;13.05;37.98;33.14;132.44;0.01;0.01;0.01;0.09;19.26;22.47;22.30;22.57;32.87;23.14;24.56;23.52;23.13;23.78;23.00;22.88;22.97;23.30;24.73;29.05;18.49;30.62;12.66;23.48;22.67;22.93;31.40;12.73;35.22;25.57;25.41;21.13;23.68;40.49;23.45;25.67;25.41;37.46;21.78;44.66;22.90;39.27;46.18;24.58;46.77;28.26;25.82;24.66;26.28;25.94;25.11;25.05;28.79
6,31,1785966036.3011057,0.06846283399499953,1.9125660250429064,1578,64,ok,,33.15;19.22;24.99;27.34;26.70;117.78;0.02;0.01;0.05;23.43;26.50;26.81;26.27;25.49;27.98;25.74;24.53;28.12;28.80;24.43;26.10;25.83;24.34;25.73;29.98;21.42;37.60;43.23;27.07;29.31;26.23;29.62;37.78;54.87;20.37;43.55;30.57;28.25;30.51;35.93;22.44;28.59;42.03;17.97;31.82;28.03;31.95;27.76;31.38;26.33;27.21;30.78;27.12;42.94;30.74;27.17;31.88;25.31;36.27;21.84;31.42;44.43;11.89
7,73,1785966036.3680873,0.08467039419338107,1.7478856721427292,1578,64,ok,,33.22;131.32;0.01;0.01;0.01;0.06;22.41;22.37;22.43;22.53;32.94;23.06;24.72;23.02;23.20;24.08;23.14;23.36;22.33;23.30;22.93;31.37;15.89;30.39;13.41;25.58;22.30;22.92;28.77;15.56;32.40;26.21;25.07;23.71;23.67;37.55;27.05;22.52;25.29;37.32;23.94;42.38;23.05;39.78;47.49;25.40;47.31;25.30;25.84;24.68;28.54;24.07;24.57;25.60;27.15;25.28;23.80;25.78;23.76;25.23;24.68;24.45;26.04
8,32,1785966036.3793025,0.07201344799250364,1.7362751509062946,1578,64,ok,,34.12;131.61;0.02;0.01;0.01;0.04;22.46;22.42;22.23;22.60;33.06;23.09;23.47;24.28;23.19;22.65;22.79;24.97;22.44;23.29;22.92;31.42;15.81;30.38;13.51;23.75;24.13;22.90;28.64;15.65;32.38;26.24;24.98;23.76;23.69;37.57;26.94;22.60;25.26;37.45;23.94;41.96;23.29;39.82;45.72;27.16;47.06;24.71;26.01;24.67;27.47;25.63;24.55;25.65;26.62;25.82;23.56;26.26;23.37;25.53;24.63;24.26;25.23
9,11,1785966036.426229,0.18953380081802607,1.7540646300185472,1578,64,ok,,0.24;0.01;0.01;3.83;19.51;22.46;21.29;22.62;33.97;22.85;23.53;23.79;22.99;23.14;22.98;25.03;21.50;23.22;23.53;31.82;15.85;30.05;13.55;24.05;24.18;22.93;27.74;16.49;32.36;26.24;24.88;23.89;23.67;37.56;26.78;22.77;25.22;37.56;22.64;42.95;23.60;39.82;45.47;26.99;45.60;26.37;26.20;24.53;27.62;25.62;24.25;25.94;26.49;25.65;23.80;24.18;25.40;24.08;24.35;26.11;25.24;23.43;39.95
