ts,metric,gpu,hostname,value
1786016997.232,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.743
1786016997.232,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786016997.232,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1786016997.272,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.179
1786016997.272,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786016997.272,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1786017002.217,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.743
1786017002.217,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017002.217,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1786017002.264,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.179
1786017002.264,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017002.264,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1786017007.231,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.743
1786017007.231,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017007.231,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1786017007.277,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.179
1786017007.277,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017007.277,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1786017012.227,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.743
1786017012.227,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017012.227,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1786017012.266,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,115.179
1786017012.266,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017012.266,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,20.0
1786017017.257,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,128.743
1786017017.257,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017017.257,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,29.0
1786017017.34,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017017.34,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017017.34,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017022.265,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017022.265,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017022.265,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017022.312,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017022.312,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017022.312,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017027.245,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017027.245,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017027.245,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017027.294,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017027.294,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017027.294,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017032.247,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017032.247,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017032.247,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017032.298,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017032.298,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017032.298,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017037.239,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017037.239,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017037.239,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017037.282,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017037.282,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017037.282,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017042.252,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017042.252,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017042.252,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017042.294,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,121.32
1786017042.294,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017042.294,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786017047.249,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,112.487
1786017047.249,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017047.249,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,38.0
1786017047.283,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017047.283,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017047.283,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017052.254,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017052.254,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017052.254,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017052.299,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017052.299,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017052.299,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017057.264,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017057.264,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017057.264,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017057.304,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017057.304,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017057.304,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017062.262,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017062.262,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017062.262,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017062.3,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017062.3,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017062.3,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017067.279,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017067.279,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017067.279,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017067.336,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017067.336,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017067.336,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017072.279,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017072.279,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017072.279,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017072.327,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,113.445
1786017072.327,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786017072.327,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,44.0
1786017077.275,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,111.291
1786017077.275,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786017077.275,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786017077.31,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017077.31,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017077.31,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017082.293,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017082.293,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017082.293,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017082.333,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017082.333,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017082.333,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017087.287,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017087.287,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017087.287,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017087.326,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017087.326,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017087.326,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017092.286,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017092.286,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017092.286,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017092.332,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017092.332,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017092.332,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017097.294,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017097.294,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017097.294,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017097.332,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017097.332,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017097.332,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017102.291,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017102.291,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017102.291,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017102.331,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,109.412
1786017102.331,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017102.331,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,25.0
1786017107.301,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.035
1786017107.301,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786017107.301,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,32.0
1786017107.336,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,97.28
1786017107.336,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017107.336,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,16.0
1786017112.307,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.573
1786017112.307,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1786017112.307,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1786017112.36,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,97.28
1786017112.36,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017112.36,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,16.0
1786017117.35,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.573
1786017117.35,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
1786017117.35,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1786017117.392,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,97.28
1786017117.392,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786017117.392,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,16.0
1786017122.316,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,105.573
1786017122.316,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,87.0
