run,sweep_id,cell,arm,alpha,beta,rate_req_s,osl_tokens,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1308,0.1245,0.1939,0.2121,0.2663,0.033,0.095,0.122,2.7192,4.441,4.5635,14.65,937.5989,2.0854
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1863,0.1634,0.3043,0.3562,0.4913,0.0397,0.1649,0.1895,4.116,7.873,8.2024,14.3249,916.7929,3.35
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,495,5,0.01,0.2514,0.2169,0.4893,0.5732,0.6584,0.0618,0.2773,0.3326,6.2841,13.2343,13.6666,13.9579,893.3078,2.8727
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,496,4,0.008,0.1267,0.1217,0.1711,0.1952,0.2448,0.0331,0.0776,0.1191,2.5924,3.9181,4.3733,13.5669,868.2818,1.2979
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,498,2,0.004,0.1837,0.1727,0.27,0.3236,0.4007,0.046,0.1589,0.2056,4.1737,7.272,7.765,14.1992,908.747,1.7344
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,498,2,0.004,0.1636,0.1532,0.2296,0.2585,0.4516,0.0377,0.1069,0.1339,3.3317,4.2573,4.4454,14.1473,905.4267,2.68
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,7,500,0,0.0,0.2009,0.1866,0.2992,0.3403,0.4147,0.0455,0.1567,0.2026,4.3284,7.4626,7.8557,15.0639,964.0911,2.2857
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,8,497,3,0.006,0.1531,0.1461,0.2105,0.2324,0.2764,0.0383,0.1044,0.1299,3.2613,4.2188,4.447,13.8788,888.2415,2.5521
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,9,499,1,0.002,0.1706,0.1642,0.2403,0.2694,0.3504,0.0416,0.1195,0.162,3.6084,5.4206,5.5468,14.678,939.3912,1.4103
20260805-230541-kvaware,gen2-confirmatory,kvaware,kvaware,,,16.0,64,ffe1c77719b2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,10,496,4,0.008,0.1895,0.1782,0.28,0.317,0.3626,0.0433,0.1509,0.1739,4.2265,7.1811,7.5427,14.4342,923.7888,2.3271
