ts,metric,gpu,hostname,value
1786146442.414,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
1786146442.414,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,47.0
1786146442.414,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1786146442.456,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,104.799
1786146442.456,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,85.0
1786146442.456,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786146447.46,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
1786146447.46,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,47.0
1786146447.46,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1786146447.514,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,104.799
1786146447.514,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,85.0
1786146447.514,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786146452.384,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
1786146452.384,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,47.0
1786146452.384,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1786146452.435,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,104.799
1786146452.435,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,85.0
1786146452.435,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786146457.416,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
1786146457.416,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,47.0
1786146457.416,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1786146457.462,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,104.799
1786146457.462,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,85.0
1786146457.462,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786146462.391,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
1786146462.391,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,47.0
1786146462.391,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,24.0
1786146462.44,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,104.799
1786146462.44,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,85.0
1786146462.44,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,32.0
1786146467.398,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,129.566
