ts,metric,gpu,hostname,value
1786147677.59,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,123.98
1786147677.59,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786147677.59,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786147677.634,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.65
1786147677.634,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786147677.634,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1786147682.674,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,123.98
1786147682.674,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786147682.674,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786147682.775,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.65
1786147682.775,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786147682.775,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1786147687.627,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,123.98
1786147687.627,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786147687.627,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786147687.711,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.65
1786147687.711,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786147687.711,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1786147692.608,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,123.98
1786147692.608,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786147692.608,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786147692.654,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.65
1786147692.654,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1786147692.654,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,19.0
1786147697.591,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,123.98
1786147697.591,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1786147697.591,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1786147697.632,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147697.632,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147697.632,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147702.603,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147702.603,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147702.603,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,23.0
1786147702.652,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147702.652,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147702.652,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147707.596,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147707.596,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147707.596,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,23.0
1786147707.636,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147707.636,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147707.636,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147712.609,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147712.609,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147712.609,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,23.0
1786147712.687,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147712.687,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147712.687,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147717.708,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147717.708,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147717.708,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,23.0
1786147717.754,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147717.754,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147717.754,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147722.61,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147722.61,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147722.61,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,23.0
1786147722.658,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,117.206
1786147722.658,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,93.0
1786147722.658,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,59.0
1786147727.711,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.98
1786147727.711,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,82.0
1786147727.711,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,34.0
