ts,metric,gpu,hostname,value
1786152591.801,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152591.801,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152591.801,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152591.846,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.793
1786152591.846,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,83.0
1786152591.846,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,54.0
1786152596.796,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152596.796,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152596.796,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152596.841,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.793
1786152596.841,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,83.0
1786152596.841,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,54.0
1786152601.819,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152601.819,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152601.819,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152601.866,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.793
1786152601.866,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,83.0
1786152601.866,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,54.0
1786152606.798,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152606.798,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152606.798,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152606.848,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.793
1786152606.848,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,83.0
1786152606.848,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,54.0
1786152611.809,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152611.809,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152611.809,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152611.85,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.793
1786152611.85,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,83.0
1786152611.85,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,54.0
1786152616.828,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.462
1786152616.828,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,0.0
1786152616.828,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,78.0
1786152616.876,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.142
1786152616.876,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1786152616.876,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,50.0
1786152621.826,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.331
1786152621.826,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1786152621.826,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,46.0
1786152621.866,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.142
1786152621.866,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1786152621.866,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,50.0
1786152626.84,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.331
1786152626.84,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1786152626.84,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,46.0
1786152626.885,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.142
1786152626.885,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1786152626.885,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,50.0
1786152631.844,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.331
1786152631.844,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1786152631.844,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,46.0
1786152631.891,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.142
1786152631.891,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1786152631.891,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,50.0
1786152636.866,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.331
1786152636.866,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1786152636.866,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,46.0
1786152636.915,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.142
1786152636.915,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1786152636.915,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,50.0
1786152641.855,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,120.331
