ts,metric,gpu,hostname,value
1786153821.915,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.704
1786153821.915,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,32.0
1786153821.915,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1786153821.96,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.668
1786153821.96,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786153821.96,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,72.0
1786153826.94,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.704
1786153826.94,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,32.0
1786153826.94,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1786153826.989,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.668
1786153826.989,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786153826.989,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,72.0
1786153831.911,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.704
1786153831.911,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,32.0
1786153831.911,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1786153831.96,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.668
1786153831.96,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,89.0
1786153831.96,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,72.0
1786153836.909,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.704
1786153836.909,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,32.0
1786153836.909,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,55.0
1786153836.969,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,122.668
