run,sweep_id,cell,arm,alpha,beta,rate_req_s,osl_tokens,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1218,0.1119,0.1786,0.1975,0.2425,0.0316,0.0846,0.1103,2.4873,3.7199,3.9511,14.6401,936.9677,2.6
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1498,0.1448,0.2091,0.2268,0.2589,0.0375,0.1062,0.1359,3.1326,4.8729,5.1804,14.2754,913.6262,1.954
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,499,1,0.002,0.2519,0.2282,0.4116,0.4741,0.6078,0.0608,0.2402,0.2975,6.2305,11.6288,12.068,14.1866,907.9451,4.6824
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,496,4,0.008,0.166,0.1547,0.2646,0.299,0.3477,0.0385,0.1568,0.196,3.5883,7.0041,7.2684,13.5808,869.1703,1.3113
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,498,2,0.004,0.157,0.1394,0.2505,0.313,0.3786,0.0386,0.1333,0.1943,3.444,6.4198,6.5596,13.9885,895.2619,1.9505
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,494,6,0.012,0.1518,0.1445,0.2018,0.2245,0.3549,0.0381,0.0963,0.1298,3.1094,4.0437,4.2384,14.0639,900.0864,1.708
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,7,499,1,0.002,0.2606,0.2429,0.4296,0.4698,0.5703,0.0585,0.2329,0.3001,6.165,10.9194,11.8467,14.7919,946.6798,3.5583
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,8,495,5,0.01,0.1736,0.1499,0.3044,0.3474,0.4191,0.0428,0.1574,0.193,3.8678,7.297,7.4328,13.2821,850.054,2.7722
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,9,497,3,0.006,0.1948,0.1825,0.2918,0.3306,0.4154,0.0454,0.152,0.1914,4.2157,6.7911,7.523,14.6007,934.446,1.4897
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,10,498,2,0.004,0.172,0.164,0.2534,0.2747,0.32,0.0431,0.1313,0.1633,3.8023,5.7087,5.9055,14.178,907.3906,3.4118
20260808-023919-kvaware,gen3-7cell,kvaware,kvaware,,,16.0,64,d383e56a6e43,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,11,499,1,0.002,0.185,0.1741,0.279,0.3134,0.435,0.0444,0.1434,0.2275,4.1457,7.2996,7.5712,14.007,896.4456,2.304
