ts,metric,gpu,hostname,value
1785878984.98,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,116.476
1785878984.98,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,89.0
1785878984.98,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,0.0
1785878985.027,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,126.862
1785878985.027,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785878985.027,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785878989.905,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785878989.905,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785878989.905,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785878989.973,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785878989.973,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785878989.973,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785878995.01,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785878995.01,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785878995.01,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785878995.067,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785878995.067,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785878995.067,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785879000.309,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785879000.309,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785879000.309,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785879000.37,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785879000.37,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785879000.37,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785879004.982,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785879004.982,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785879004.982,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785879005.065,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785879005.065,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785879005.065,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785879009.908,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785879009.908,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785879009.908,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785879009.97,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785879009.97,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785879009.97,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785879014.923,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,136.931
1785879014.923,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785879014.923,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,58.0
1785879014.975,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,118.789
1785879014.975,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,87.0
1785879014.975,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879020.045,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879020.045,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879020.045,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879020.259,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879020.259,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879020.259,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879024.912,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879024.912,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879024.912,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879024.954,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879024.954,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879024.954,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879030.012,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879030.012,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879030.012,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879030.08,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879030.08,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879030.08,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879034.909,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879034.909,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879034.909,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879034.959,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879034.959,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879034.959,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879039.973,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879039.973,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879039.973,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879040.051,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879040.051,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879040.051,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,29.0
1785879044.912,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,107.439
1785879044.912,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879044.912,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,37.0
1785879044.953,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,111.379
1785879044.953,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,91.0
1785879044.953,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879050.051,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879050.051,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879050.051,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785879050.096,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.807
1785879050.096,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785879050.096,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879054.97,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879054.97,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879054.97,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785879055.042,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.807
1785879055.042,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785879055.042,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879059.988,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879059.988,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879059.988,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785879060.056,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.807
1785879060.056,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785879060.056,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879064.996,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879064.996,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879064.996,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785879065.222,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.807
1785879065.222,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785879065.222,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879070.061,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879070.061,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785879070.061,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,28.0
1785879070.172,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,101.807
1785879070.172,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785879070.172,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,41.0
1785879074.959,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,92.005
1785879074.959,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
