index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,2,1785879031.5068958,0.21152941696345806,7.689851542003453,1578,128,ok,,22.90;24.13;22.67;70.85;26.25;52.51;34.91;126.20;0.95;21.54;35.05;39.82;94.93;68.76;68.18;46.65;55.15;93.60;0.03;0.03;11.61;28.67;23.45;44.11;26.25;24.98;26.83;28.69;28.12;26.23;31.89;24.13;45.18;32.07;121.14;1.08;5.88;3.29;44.96;51.43;23.74;120.78;147.23;129.19;99.93;74.29;35.70;32.64;32.16;38.11;37.66;36.93;31.83;106.81;4.10;28.99;44.01;22.70;82.01;21.01;37.99;47.73;100.83;38.76;95.04;23.14;36.52;33.51;39.51;96.28;35.71;36.20;35.04;28.40;158.70;4.11;2.12;44.13;22.87;36.04;199.47;12.50;76.94;24.56;112.56;28.91;29.09;82.62;42.66;110.99;38.40;182.85;0.03;77.90;43.62;46.23;100.35;100.44;155.41;68.38;61.23;162.55;105.01;124.89;8.69;23.17;18.92;60.91;33.44;29.79;130.37;220.68;4.89;72.05;46.99;38.61;108.62;50.10;61.43;144.75;22.81;96.06;60.12;140.42;203.77;123.63;152.38
1,0,1785879031.70341,0.15581370797008276,8.093121999874711,1578,128,ok,,25.88;52.45;35.17;125.92;0.85;21.90;34.93;39.72;95.04;70.37;67.89;44.89;52.69;96.06;0.04;0.03;12.54;27.95;23.37;44.04;26.45;24.85;26.55;29.13;28.90;25.10;28.39;27.82;45.45;34.90;118.45;1.06;5.13;3.74;50.25;40.11;31.03;119.63;153.81;123.15;99.97;73.20;35.97;32.35;32.05;38.61;41.76;33.39;31.74;106.44;2.20;33.30;43.09;21.10;83.19;20.91;37.13;48.29;104.71;34.80;94.87;26.63;35.14;31.66;40.51;101.12;28.80;37.19;36.81;25.75;160.28;0.02;4.77;44.82;23.00;35.85;200.24;11.59;77.40;23.40;112.90;30.48;28.37;81.60;42.51;113.87;36.69;183.39;4.00;75.94;41.28;47.56;99.01;101.15;155.15;67.61;54.42;169.34;128.52;106.24;3.93;22.61;18.41;64.81;30.29;29.41;130.42;221.17;4.85;71.74;46.85;39.67;107.70;51.10;63.42;141.90;24.66;95.92;57.46;146.42;199.08;127.50;160.03;239.11;77.35;65.19;206.17
2,30,1785879031.888342,0.09280637511983514,3.362058582948521,1578,128,ok,,21.65;96.17;0.04;0.04;0.03;1.30;15.91;23.98;16.22;19.14;20.50;21.08;20.29;15.99;26.47;21.06;20.92;20.01;20.42;19.96;19.15;20.70;19.47;20.54;22.11;25.18;112.57;1.80;0.03;0.03;16.77;25.21;25.80;24.89;24.23;25.59;25.11;23.12;23.81;27.22;23.67;23.11;25.63;25.21;24.36;24.87;24.01;110.88;0.03;1.84;5.11;3.92;41.95;47.05;15.29;21.37;30.39;9.61;24.62;26.58;23.58;28.39;25.71;27.16;18.94;55.02;21.57;95.12;2.76;0.03;7.44;31.51;22.27;25.42;26.73;22.76;24.94;27.00;28.61;23.33;23.51;25.05;26.82;25.31;26.78;25.66;28.57;102.12;0.03;4.01;18.94;15.79;37.39;34.36;26.65;33.02;22.29;27.82;24.54;27.78;27.84;28.03;30.47;21.38;27.80;114.89;0.73;3.61;0.03;19.12;30.30;24.76;25.94;26.44;27.21;29.33;26.63;25.43;28.97;25.64;42.16;12.40;27.93;25.03;28.62;97.87;0.03
3,0,1785879031.892075,0.2078552080783993,8.775359624996781,1578,128,ok,,21.29;35.21;39.73;94.75;68.92;68.15;46.70;52.05;96.03;0.03;1.86;10.44;28.59;23.53;44.05;25.58;25.81;26.90;28.48;27.77;25.83;32.66;24.32;45.43;31.84;121.04;1.07;5.94;4.24;44.02;45.15;29.23;121.44;139.95;135.92;99.88;74.68;35.69;32.93;31.94;38.58;41.31;32.09;31.18;108.92;2.16;30.26;39.78;25.67;76.23;27.03;39.36;47.21;98.77;38.38;97.31;22.82;36.78;30.55;37.68;100.08;37.09;35.61;35.51;28.10;157.64;5.12;2.57;40.63;26.39;33.31;201.96;12.09;69.50;33.00;112.08;29.26;28.26;80.70;45.26;107.42;41.51;181.81;4.64;70.72;45.78;51.48;96.43;100.97;154.17;68.19;52.61;173.17;103.78;124.02;10.40;3.41;38.42;60.52;32.89;26.45;133.63;220.19;4.60;73.46;46.77;38.43;107.71;51.40;59.91;146.21;21.40;97.04;51.84;165.59;187.16;122.61;151.66;250.88;92.12;55.07;223.06;166.33;181.78;149.95;185.36;168.92
4,24,1785879031.897718,0.10526283388026059,3.3527816249988973,1578,128,ok,,96.16;0.03;0.03;0.03;1.27;15.86;22.89;17.36;19.20;20.43;21.02;20.31;15.81;26.66;21.49;20.65;18.96;21.29;20.06;19.14;20.61;22.10;18.01;22.14;25.22;112.18;1.77;0.03;0.03;16.73;25.19;25.52;25.08;23.91;25.90;21.91;26.44;23.74;27.40;23.55;23.15;25.49;25.41;24.33;24.87;24.05;110.93;0.03;1.65;5.12;4.12;42.24;46.40;15.53;25.46;26.36;9.81;24.58;26.46;23.74;28.04;25.65;27.70;19.02;54.65;21.77;95.36;2.52;0.05;7.23;31.71;21.91;25.44;24.37;25.35;24.82;23.70;26.93;26.50;25.32;25.18;26.83;25.36;26.73;25.71;28.40;101.74;0.07;4.27;19.21;15.69;42.14;29.94;26.12;33.05;22.29;27.84;24.24;27.84;28.13;25.84;32.83;21.79;26.74;114.87;1.60;3.37;0.03;15.10;34.38;24.58;26.31;31.31;22.22;29.61;27.32;24.04;29.36;25.83;48.17;7.55;26.64;25.21;28.89;97.48;0.03;0.03
5,39,1785879032.011565,0.27969574998132885,9.40560754109174,1578,128,ok,,68.83;68.10;43.03;55.42;95.90;0.03;1.95;10.18;28.46;23.59;41.53;28.39;25.26;24.80;28.58;30.99;25.24;28.71;25.57;43.00;38.87;118.99;1.17;5.12;2.63;46.77;51.29;24.49;119.40;154.27;122.83;100.28;73.06;35.59;32.87;31.96;36.68;43.95;33.62;32.02;103.62;4.52;29.93;45.86;19.45;84.99;21.46;34.27;51.53;103.96;34.96;94.82;26.62;32.98;33.86;38.21;103.57;28.40;37.45;35.06;27.35;160.45;0.02;4.31;44.48;22.35;37.34;199.83;12.00;77.31;23.37;113.00;29.10;29.92;81.39;42.72;112.71;37.35;183.31;3.90;76.85;40.36;49.38;96.82;102.63;154.56;70.15;50.56;169.77;128.86;106.84;3.82;22.28;18.56;65.41;30.61;31.65;127.23;220.96;4.88;73.12;45.32;39.95;107.68;51.33;63.12;142.39;24.49;95.51;57.66;153.11;192.57;128.29;149.58;248.85;96.89;49.52;221.06;181.07;161.56;168.43;172.89;175.12;185.75;166.84;224.67;165.23
6,32,1785879032.095453,0.19601787510327995,9.340003333054483,1578,128,ok,,68.25;68.57;46.21;52.48;96.22;0.03;0.03;12.04;28.30;23.81;43.67;26.40;25.07;26.54;28.72;28.56;25.98;28.05;28.16;44.98;35.03;118.26;1.09;6.07;3.11;44.90;49.75;25.40;120.83;154.43;122.20;102.28;71.65;35.90;32.82;32.23;37.77;41.61;34.15;31.90;105.66;3.86;31.34;42.93;21.46;83.02;21.59;36.76;47.96;105.38;34.45;94.82;26.85;34.92;31.79;40.28;100.91;29.01;37.25;37.46;25.05;160.25;0.02;4.79;49.44;18.39;36.07;199.99;11.61;78.11;23.01;112.35;30.72;29.90;80.53;42.00;113.97;36.30;183.82;4.03;76.21;40.89;47.50;99.56;100.66;155.32;67.38;60.32;163.17;128.80;106.26;3.60;23.15;18.68;67.85;27.62;31.92;131.06;217.58;0.04;77.64;45.36;39.67;108.58;50.25;63.16;142.40;24.41;94.26;58.92;142.97;202.31;127.73;160.31;238.64;100.21;58.22;189.88;203.00;151.97;175.05;174.71;176.00;174.93;174.91;214.39;194.64
7,3,1785879032.1648588,0.1961976659949869,9.456032665912062,1578,128,ok,,71.63;41.94;52.47;95.98;0.03;0.03;11.88;28.73;23.68;43.77;26.30;24.91;26.95;28.70;28.69;25.22;32.24;24.19;45.69;34.35;118.86;1.40;4.70;3.64;45.42;44.52;31.21;119.89;147.59;129.14;99.52;74.14;35.70;32.93;31.04;37.60;39.30;37.70;31.83;104.27;3.98;30.21;44.87;20.98;84.43;21.01;34.82;51.01;104.24;34.62;95.03;26.21;33.29;33.79;38.17;98.08;33.96;37.50;37.22;25.97;159.44;0.03;5.13;44.14;23.01;36.44;199.98;11.60;76.95;24.54;112.82;29.17;28.81;82.19;43.09;110.86;39.00;182.64;3.81;76.35;40.93;46.29;99.87;103.49;154.10;67.22;60.85;160.80;130.03;106.60;4.26;4.02;33.58;68.17;31.13;32.04;126.97;221.32;4.86;69.95;44.32;44.20;107.61;50.20;63.03;143.60;24.36;95.32;60.48;144.17;198.49;126.74;151.23;248.74;80.62;62.02;200.13;192.21;181.03;146.86;187.06;169.21;190.00;163.86;213.27;180.50;205.82
8,18,1785879032.188258,0.09299237513914704,3.407671625027433,1578,128,ok,,19.91;20.96;19.17;20.97;20.34;18.98;20.51;22.00;18.21;22.10;25.24;112.36;1.77;0.03;0.03;16.76;25.28;25.79;24.73;23.88;26.10;21.74;26.43;23.88;28.05;23.00;22.92;25.57;25.40;24.37;24.85;24.14;110.75;0.02;1.65;5.07;3.99;49.19;44.84;10.94;24.83;28.78;7.32;24.74;26.35;23.67;29.01;25.11;27.06;19.03;56.25;20.40;95.39;2.52;0.02;14.41;24.51;22.18;25.54;26.64;22.88;24.74;26.66;28.65;25.98;21.16;25.09;26.83;25.63;26.46;25.73;29.44;100.85;0.03;4.79;18.72;17.19;36.13;33.92;26.70;33.09;22.16;28.11;23.85;28.24;33.01;22.82;30.65;21.44;27.24;115.03;1.08;3.92;0.03;16.72;32.63;24.70;25.91;30.22;23.20;29.53;27.62;24.59;28.55;25.75;42.49;12.29;28.39;24.40;28.53;98.28;0.03;0.02;17.39;30.22;15.85;23.84;24.75;26.70;25.92;26.47;117.18;0.03;0.03;8.03;8.73;21.41
9,1,1785879032.247467,0.18367570801638067,9.441722166026011,1578,128,ok,,43.40;52.61;96.22;0.03;0.03;11.51;28.49;23.63;44.04;26.44;24.64;26.80;28.99;28.90;25.35;31.60;24.01;41.27;39.21;118.89;0.03;6.21;3.47;50.42;44.54;26.44;119.44;155.34;121.86;93.74;79.04;35.34;32.90;32.26;38.12;38.90;38.06;31.53;103.75;6.06;28.15;45.23;20.24;84.63;21.51;34.69;47.77;99.96;38.65;96.48;22.45;36.54;36.58;38.96;101.63;26.33;33.32;44.87;22.04;159.38;5.24;2.04;50.75;14.19;36.41;201.88;11.43;80.14;19.59;114.50;29.69;28.69;78.72;42.62;111.24;39.94;187.13;3.79;77.58;35.50;37.19;112.34;98.02;155.91;67.55;64.69;161.40;130.01;104.53;3.72;4.20;35.66;71.80;16.58;27.87;140.79;217.79;7.52;69.93;42.68;40.73;112.36;47.66;68.88;139.82;5.50;114.35;60.57;157.18;184.26;131.18;143.69;252.23;80.91;61.77;207.08;186.78;179.72;145.87;190.61;169.78;207.62;144.35;219.78;172.43;214.24;64.01
