ts,metric,gpu,hostname,value
1785783031.045,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.433
1785783031.045,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785783031.045,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1785783031.094,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.738
1785783031.094,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785783031.094,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,18.0
1785783035.976,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.433
1785783035.976,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785783035.976,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1785783036.024,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.738
1785783036.024,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785783036.024,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,18.0
1785783041.071,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.433
1785783041.071,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785783041.071,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1785783041.119,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,107.738
1785783041.119,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,100.0
1785783041.119,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,18.0
1785783046.025,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,106.433
1785783046.025,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,100.0
1785783046.025,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,22.0
1785783046.095,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.452
1785783046.095,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785783046.095,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,55.0
1785783051.055,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,121.358
1785783051.055,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785783051.055,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,72.0
1785783051.108,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.452
1785783051.108,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785783051.108,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,55.0
1785783056.075,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,121.358
1785783056.075,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785783056.075,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,72.0
1785783056.256,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.452
1785783056.256,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,90.0
1785783056.256,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,55.0
1785783061.015,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,121.358
1785783061.015,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785783061.015,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,72.0
1785783061.062,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.452
