index,prefix_id,send_ts,ttft_s,e2e_s,prompt_tokens,completion_tokens,status,error,itls_ms
0,106,1785791609.918117,,1.649076166,1578,64,ok,,
1,80,1785791609.926363,,1.663002834,1578,64,ok,,
2,11,1785791610.0318248,,2.0680875409999997,1578,64,ok,,
3,18,1785791610.112326,,1.842468667,1578,64,ok,,
4,0,1785791610.129337,,2.209532083,1578,64,ok,,
5,8,1785791610.167964,,1.8212005419999997,1578,64,ok,,
6,0,1785791610.20119,,2.165617542,1578,64,ok,,
7,2,1785791610.260233,,2.229519916,1578,64,ok,,
8,21,1785791610.347052,,2.327708125,1578,64,ok,,
9,9,1785791610.3528152,,2.385274208,1578,64,ok,,
10,3,1785791610.354623,,2.393316584,1578,64,ok,,
11,13,1785791610.456179,,2.411861917,1578,64,ok,,
12,34,1785791610.488084,,2.009517583,1578,64,ok,,
13,20,1785791610.568098,,2.076130958,1578,64,ok,,
14,10,1785791610.5696929,,2.0744212920000002,1578,64,ok,,
15,5,1785791610.608809,,2.688624333,1578,64,ok,,
16,9,1785791610.680021,,2.6423170419999997,1578,64,ok,,
17,4,1785791610.695853,,2.176139958,1578,64,ok,,
18,106,1785791610.857457,,2.199746375,1578,64,ok,,
19,1,1785791610.986617,,3.086507083,1578,64,ok,,
20,10,1785791610.988479,,2.403547917,1578,64,ok,,
21,4,1785791610.990054,,2.402096792,1578,64,ok,,
22,0,1785791611.033835,,3.132569416,1578,64,ok,,
23,3,1785791611.190381,,3.1392599169999995,1578,64,ok,,
24,23,1785791611.217973,,3.194866084,1578,64,ok,,
25,14,1785791611.231633,,2.4127894999999997,1578,64,ok,,
26,77,1785791611.2623959,,3.350140542,1578,64,ok,,
27,88,1785791611.264095,,2.5076972499999997,1578,64,ok,,
28,10,1785791611.278652,,2.493635042,1578,64,ok,,
29,3,1785791611.3203268,,3.773008708,1578,64,ok,,
30,81,1785791611.3587,,3.739643958,1578,64,ok,,
31,0,1785791611.373796,,3.7239404160000005,1578,64,ok,,
32,114,1785791611.38899,,2.50177375,1578,64,ok,,
33,58,1785791611.4027898,,2.485704042,1578,64,ok,,
34,107,1785791611.4380329,,3.659465959,1578,64,ok,,
