ts,metric,gpu,hostname,value
1785792406.153,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,139.959
1785792406.153,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,28.0
1785792406.153,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,30.0
1785792406.236,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792406.236,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792406.236,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792411.15,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792411.15,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792411.15,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792411.194,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792411.194,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792411.194,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792416.187,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792416.187,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792416.187,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792416.239,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792416.239,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792416.239,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792421.175,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792421.175,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792421.175,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792421.28,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792421.28,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792421.28,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792426.334,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792426.334,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792426.334,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792426.399,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792426.399,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792426.399,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792431.189,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792431.189,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792431.189,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792431.24,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,93.375
1785792431.24,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,0.0
1785792431.24,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,0.0
1785792436.216,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,127.934
1785792436.216,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,88.0
1785792436.216,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,70.0
1785792436.264,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.461
1785792436.264,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785792436.264,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785792441.171,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.628
1785792441.171,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1785792441.171,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,63.0
1785792441.222,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.461
1785792441.222,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785792441.222,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785792446.21,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.628
1785792446.21,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1785792446.21,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,63.0
1785792446.371,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.461
1785792446.371,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785792446.371,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785792451.258,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.628
1785792451.258,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker0,84.0
1785792451.258,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker0,63.0
1785792451.298,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker1,112.461
1785792451.298,DCGM_FI_DEV_GPU_UTIL,0,gapu-2-worker1,94.0
1785792451.298,DCGM_FI_DEV_MEM_COPY_UTIL,0,gapu-2-worker1,57.0
1785792456.383,DCGM_FI_DEV_POWER_USAGE,0,gapu-2-worker0,122.628
