run,cell,arm,alpha,beta,rate_req_s,git_commit,router_image,seed,ok,errors,error_rate,ttft_mean,ttft_p50,ttft_p90,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,e2e_mean,e2e_p95,e2e_p99,throughput_req_s,throughput_tok_s,imbalance
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1674,0.1587,0.2315,0.2518,0.2859,nan,nan,nan,2.2281,3.0434,3.4073,7.2269,462.5231,6.25
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1719,0.1606,0.2301,0.2517,0.301,nan,nan,nan,2.4235,2.9113,3.0338,7.0058,448.3685,4.0952
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,499,1,0.002,0.19,0.1835,0.2543,0.2845,0.3449,nan,nan,nan,2.7829,4.0223,4.1823,7.3238,468.7223,4.14
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,4,500,0,0.0,0.1813,0.1709,0.244,0.2619,0.3038,nan,nan,nan,2.448,2.7904,3.7128,6.6879,428.0251,4.7632
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,5,499,1,0.002,0.195,0.1811,0.2628,0.3004,0.4636,nan,nan,nan,2.6525,3.2972,3.4875,7.1673,458.7051,5.7838
20260803-155715-kvaware,kvaware,kvaware,,,7.5,e2ed699862af,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,6,498,2,0.004,0.2022,0.1939,0.2848,0.309,0.3412,nan,nan,nan,2.5443,2.8964,2.9382,6.949,444.7345,3.3774
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.151,0.1431,0.1901,0.2219,0.274,nan,nan,nan,2.2378,3.2307,3.3669,7.1302,456.3341,3.6579
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.16,0.1541,0.1937,0.2259,0.2544,nan,nan,nan,2.4514,3.0425,3.2171,6.9742,446.3497,5.1515
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,499,1,0.002,0.1715,0.1614,0.2278,0.2617,0.3089,nan,nan,nan,2.6949,4.1126,4.6445,7.322,468.605,3.0784
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.1676,0.1604,0.2191,0.2415,0.2801,nan,nan,nan,2.5277,3.1661,3.791,6.7256,430.4371,4.1395
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,497,3,0.006,0.1675,0.1579,0.2206,0.2474,0.2886,nan,nan,nan,2.7074,4.1101,4.3354,7.0998,454.3871,3.3125
20260803-161908-loadaware-b0,loadaware-b0,loadaware,1.0,0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,500,0,0.0,0.1603,0.1488,0.2067,0.2684,0.3309,nan,nan,nan,2.5809,3.7743,4.0497,6.9814,446.8071,3.1356
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.144,0.1363,0.1799,0.2006,0.2822,nan,nan,nan,2.2134,3.1067,3.202,7.1371,456.7712,1.2065
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.2324,0.1915,0.3912,0.4177,0.4398,nan,nan,nan,2.6587,3.6119,4.0108,7.0326,450.0878,1.1789
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,500,0,0.0,0.1627,0.1524,0.2128,0.238,0.2781,nan,nan,nan,2.6371,3.6881,4.5073,7.3369,469.5601,1.1471
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.1505,0.1454,0.1846,0.1954,0.2383,nan,nan,nan,2.5404,3.1674,3.2755,6.6377,424.8153,1.0185
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,500,0,0.0,0.1558,0.1535,0.1917,0.2032,0.2372,nan,nan,nan,2.6583,3.3733,3.5909,7.1349,456.6341,1.181
20260803-163350-loadaware-b0.1,loadaware-b0.1,loadaware,1.0,0.1,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,500,0,0.0,0.1581,0.1519,0.1921,0.2098,0.2833,nan,nan,nan,2.5856,3.2915,3.5606,6.943,444.3497,1.0702
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.1882,0.1553,0.2427,0.3718,0.753,nan,nan,nan,2.2697,2.9455,3.3392,7.2008,460.8527,1.0938
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,500,0,0.0,0.1783,0.1649,0.2319,0.251,0.3682,nan,nan,nan,2.5646,3.625,3.9599,7.0199,449.2749,1.0185
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,499,1,0.002,0.1869,0.1781,0.2527,0.273,0.3125,nan,nan,nan,2.7255,4.0874,4.4769,7.2783,465.8099,1.1759
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.1815,0.175,0.2425,0.2583,0.2911,nan,nan,nan,2.6065,3.2798,3.4105,6.6112,423.1168,1.1359
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,499,1,0.002,0.1871,0.1771,0.2519,0.2705,0.3286,nan,nan,nan,2.71,3.5423,3.7808,7.198,460.6714,1.2424
20260803-164940-loadaware-b0.5,loadaware-b0.5,loadaware,1.0,0.5,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,499,1,0.002,0.184,0.1733,0.2427,0.2625,0.3315,nan,nan,nan,2.6238,3.3236,3.4038,6.8648,439.3468,1.0783
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,1,500,0,0.0,0.1835,0.1593,0.2408,0.288,0.6909,nan,nan,nan,2.2746,3.1347,3.8003,7.2086,461.353,1.0606
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,2,499,1,0.002,0.1803,0.1684,0.2404,0.2649,0.3371,nan,nan,nan,2.6594,4.1052,4.283,7.0003,448.0168,1.1
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,3,499,1,0.002,0.1938,0.1699,0.2498,0.2865,0.7486,nan,nan,nan,2.7308,4.6576,5.3147,7.3081,467.7162,1.2453
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,4,500,0,0.0,0.1797,0.1725,0.2449,0.2635,0.3127,nan,nan,nan,2.6777,3.2787,3.3488,6.6414,425.0528,1.4062
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,5,500,0,0.0,0.183,0.1726,0.2465,0.2683,0.3697,nan,nan,nan,2.8244,3.8786,3.9621,7.2027,460.974,1.2427
20260803-170418-loadaware-b1.0,loadaware-b1.0,loadaware,1.0,1.0,7.5,63aee0aa29a2,quay.io/rhl193000/lmstack-router-loadaware:c68ccfc,6,500,0,0.0,0.1845,0.1763,0.2503,0.2657,0.3052,nan,nan,nan,2.7176,3.4436,3.5882,6.8895,440.9266,1.2925
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,1,500,0,0.0,0.1638,0.1535,0.2225,0.2417,0.2727,nan,nan,nan,2.2647,3.119,3.3641,7.2139,461.6873,4.5152
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,2,500,0,0.0,0.1767,0.1668,0.2425,0.2609,0.3082,nan,nan,nan,2.498,3.244,3.7073,7.0376,450.4059,4.25
20260803-171846-kvaware,kvaware,kvaware,,,7.5,63aee0aa29a2,lmcache/lmstack-router:0.1.9.dev9-g37bafbcf5.d20260107,3,500,0,0.0,0.1797,0.1705,0.2369,0.2587,0.3026,nan,nan,nan,2.6144,3.2229,4.0288,7.3476,470.2468,3.4681
